Nelder-Mead,fun,time,Powell,fun,time,SLSQP,fun,time,Density Matrix
[1.92731875 1.83669703],0.27669107111666363,0.11995244026184082,[1.92734108 1.83668497],0.2766830801033124,0.08188986778259277,[1.92732617 1.82922103],0.28521853857596097,0.04922747611999512,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.32548842+0.j         0.31376063-0.12311486j]
 [0.31376063+0.12311486j 0.67451158+0.j        ]]"
[3.14159265 1.04606769],1.0717410164430379,0.0679168701171875,[1.57278242 1.50918684],0.9859716605203247,0.1133275032043457,[0.01237836 1.760137  ],1.0657818388067868,0.03904867172241211,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.49901386+0.j         0.00607939+0.03077726j]
 [0.00607939-0.03077726j 0.50098614+0.j        ]]"
[3.14159265 1.0915489 ],1.9933206259368592,0.044898271560668945,[4.59938044e-05 4.71239284e+00],0.006725366987483183,0.11567044258117676,[4.44089210e-16 1.57685158e+00],0.006679374063141455,0.013964653015136719,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.99666031 0.        ]
 [0.         0.00333969]]"
[3.14159265 0.54577445],0.037009141642238064,0.047564029693603516,[3.14159265 4.71239286],0.03700914164235404,0.3017089366912842,[3.14159265 1.25834086],0.03700914164223861,0.0039844512939453125,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.01850457 0.        ]
 [0.         0.98149543]]"
[3.14159265 0.75043987],1.4437833500421737,0.033454179763793945,[1.69649658 6.1667427 ],0.5315540632195269,0.04402422904968262,[1.69648085e+00 4.52622324e-15],0.653521786355731,0.0286712646484375,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.43732317+0.j         -0.05763662+0.22693188j]
 [-0.05763662-0.22693188j  0.56267683+0.j        ]]"
[3.14159265 1.0915489 ],1.7697468549276716,0.03590869903564453,[3.52633308e-05 4.71239284e+00],0.23028840791758806,0.03767037391662598,[4.44089210e-16 1.57685154e+00],0.23025314507232897,0.010694503784179688,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.88487343 0.        ]
 [0.         0.11512657]]"
[3.14159265 1.77803082],1.103044537225142,0.0400240421295166,[1.56796522 1.63905304],0.965684714533912,0.06988263130187988,[0.07640089 2.67515729],0.9965364211760211,0.12714910507202148,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.50142237+0.j         0.0160132 -0.03408669j]
 [0.0160132 +0.03408669j 0.49857763+0.j        ]]"
[2.49850244 0.83325901],0.5653500112757031,0.12198257446289062,[1.80799532 0.47412187],0.46156802654049106,0.11577582359313965,[1.80799776 0.47414173],0.46155867128366923,0.1712651252746582,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.38250859+0.j         0.22189078+0.20161207j]
 [0.22189078-0.20161207j 0.61749141+0.j        ]]"
[3.14159265 0.95510528],1.5543066531588265,0.12082052230834961,[5.01602296e-05 4.71239284e+00],0.4457435060065335,0.11104202270507812,[0.         1.57685153],0.44569334684117345,0.03709220886230469,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.77715333 0.        ]
 [0.         0.22284667]]"
[3.14159265 1.0915489 ],1.991128923724155,0.12509799003601074,[4.59938044e-05 4.71239284e+00],0.008917069200187332,0.051999807357788086,[4.44089210e-16 1.57685154e+00],0.008871076275845605,0.012038230895996094,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.99556446 0.        ]
 [0.         0.00443554]]"
