differential_evolution,time,matrix,degree
[1.5953267  4.86830691],0.27790045738220215,"[[ 4.87736042e-01-1.16262621e-17j -2.37945310e-17+4.99849573e-01j]
 [-2.37945310e-17-4.99849573e-01j  5.12263958e-01+1.43887112e-17j]]",(0.07706015458013223+0.4222294505388103j)
[1.38882835 4.9527837 ],0.3981318473815918,"[[5.90482704e-01-2.44912179e-17j 1.29657631e-17+4.91744731e-01j]
 [1.29657631e-17-4.91744731e-01j 4.09517296e-01-1.07200504e-17j]]",(0.2461066345752508+0.3750999632221892j)
[0.64525714 2.88944999],0.4633364677429199,"[[ 8.99472574e-01+4.36316833e-18j -3.34387874e-18+3.00701950e-01j]
 [-3.34387874e-18-3.00701950e-01j  1.00527426e-01+5.22216412e-19j]]",(0.07508717292374636-0.5913577049276239j)
[1.86217446 1.98560788],0.4359283447265625,"[[ 3.56363729e-01-2.32380999e-19j -1.78738148e-17+4.78924443e-01j]
 [-1.78738148e-17-4.78924443e-01j  6.43636271e-01-1.48996926e-17j]]",(0.25518376582268165-0.6719393645639303j)
[0.         1.49051148],0.2599680423736572,"[[1.+1.46136754e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.09719438949063423+1.0333428953879961e-17j)
[3.14158893 4.66960944],0.29187917709350586,"[[3.46996531e-12-5.81568871e-29j 5.91702300e-23+1.86278429e-06j]
 [5.91702300e-23-1.86278429e-06j 1.00000000e+00-4.38973369e-18j]]",(0.5133189859399212-3.1040104617762044e-18j)
[3.14159265 3.33335075],0.24688363075256348,"[[3.74939946e-33-4.52474678e-51j 3.41516447e-34+6.12323400e-17j]
 [3.41516447e-34-6.12323400e-17j 1.00000000e+00+2.21181883e-18j]]",(0.3605972730176679+1.5639920964090547e-18j)
[1.24664627 3.65005855],0.40996360778808594,"[[6.59251609e-01-7.77105967e-18j 4.22233482e-18+4.73960890e-01j]
 [4.22233482e-18-4.73960890e-01j 3.40748391e-01+5.91079990e-18j]]",(0.2307423210887377+0.7090936983026623j)
[1.01633086 0.38908707],0.38211536407470703,"[[ 7.63244462e-01-6.96305830e-19j -3.95310620e-19+4.25090994e-01j]
 [-3.95310620e-19-4.25090994e-01j  2.36755538e-01+3.08721099e-18j]]",(0.16125566635930266-0.11101173353486564j)
[0.0693657  1.20116306],0.23458456993103027,"[[ 9.98797582e-01-1.75739376e-17j -1.37366664e-18+3.46550424e-02j]
 [-1.37366664e-18-3.46550424e-02j  1.20241777e-03+3.24873577e-20j]]",(0.7040983710127691-0.0010157781292739838j)
