Powell,fun,time
[4.59938047e-05 4.71239284e+00],0.2652173446716463,0.04723954200744629
[4.59938044e-05 4.71239284e+00],0.04761720202894846,0.13439154624938965
[3.14159265 4.71239284],0.056217945981784104,0.36108875274658203
[3.14159265 4.71239344],0.2921532670959803,0.3054225444793701
[1.3507814  1.87877322],0.4262766485807779,0.1385037899017334
[2.04814696 1.69747387],0.18535044843043194,0.14989280700683594
[1.54725659 1.73589512],0.8485177640481223,0.07050967216491699
[2.77372218 0.18260251],0.0025935083478935556,0.6938629150390625
[0.57348926 5.77215639],0.0193734579140184,0.6756510734558105
[2.58493308 0.31704686],0.023075123726147784,0.34435319900512695
