Powell,time,matrix,degree
[1.28348203 4.71239284],0.03441810607910156,"[[6.41688819e-01+1.19044409e-17j 3.36397394e-17+4.79504201e-01j]
 [3.36397394e-17-4.79504201e-01j 3.58311181e-01+3.23542430e-18j]]",(2.9361164233029976e-17+0.47950420077809147j)
[1.16737624 2.7746606 ],0.03394508361816406,"[[6.96283083e-01+5.36478686e-18j 6.86398765e-18+4.59861883e-01j]
 [6.86398765e-18-4.59861883e-01j 3.03716917e-01-1.59272421e-19j]]",(0.16496303996413247-0.7631995207259054j)
[1.49646187 3.34968122],0.03091883659362793,"[[ 5.37133009e-01-1.75429557e-18j -1.68159242e-18+4.98619233e-01j]
 [-1.68159242e-18-4.98619233e-01j  4.62866991e-01+2.50236636e-18j]]",(0.10300986847027702+0.6527854407890699j)
[1.57060089 1.55108489],0.02995610237121582,"[[5.00097719e-01-1.77852124e-17j 4.43935153e-17+4.99999990e-01j]
 [4.43935153e-17-4.99999990e-01j 4.99902281e-01-3.21764142e-19j]]",(0.0013689396126239613-0.49013925832294897j)
[1.34223887 4.71239284],0.030956268310546875,"[[ 6.13286366e-01-4.03415387e-18j -9.43480815e-18+4.86997125e-01j]
 [-9.43480815e-18-4.86997125e-01j  3.86713634e-01-1.01885572e-17j]]",(2.9819973478180696e-17-0.48699712437810677j)
[2.57219008 1.34705098],0.0643775463104248,"[[7.88883913e-02-3.14364594e-18j 2.42303420e-17+2.69564488e-01j]
 [2.42303420e-17-2.69564488e-01j 9.21111609e-01+1.72144828e-17j]]",(0.2630482238584062-0.20959579986381743j)
[1.9072076  2.48941819],0.03290700912475586,"[[3.34949167e-01+1.00793314e-18j 1.28465872e-17+4.71972693e-01j]
 [1.28465872e-17-4.71972693e-01j 6.65050833e-01+2.68074672e-18j]]",(0.2864401837092187-0.6408526364560132j)
[1.1591034  0.12895666],0.029550790786743164,"[[ 7.00080686e-01+2.58284384e-18j -1.61571523e-18+4.58222347e-01j]
 [-1.61571523e-18-4.58222347e-01j  2.99919314e-01+8.12992086e-19j]]",(0.05891852191974394-0.116835039774086j)
[1.77660486 4.71239284],0.028960466384887695,"[[3.9782065e-01+6.74672802e-18j 1.6199153e-17+4.89448036e-01j]
 [1.6199153e-17-4.89448036e-01j 6.0217935e-01-1.41767927e-17j]]",(2.997004855333621e-17+0.48944803635142026j)
[4.41544306e-14 4.71239284e+00],0.09137701988220215,"[[ 1.00000000e+00-8.54550929e-18j -5.31530411e-31+2.20772153e-14j]
 [-5.31530411e-31-2.20772153e-14j  4.87403436e-28+2.13616367e-44j]]",(0.40037588018379033-6.0425875701596854e-18j)
