COBYLA,time
[1.08968669e-04 6.78933636e+00],0.01296544075012207
[0.49936439 8.6107979 ],0.014990568161010742
[1.08968669e-04 6.78933636e+00],0.011519193649291992
[1.08968669e-04 6.78933636e+00],0.012424707412719727
[0.36635478 7.51767323],0.018459320068359375
[1.08968669e-04 6.78933636e+00],0.012964487075805664
[1.08968669e-04 6.78933636e+00],0.015958070755004883
[2.29090622 3.61496662],0.011968135833740234
[-0.05341956  5.62861366],0.011966466903686523
[1.08968669e-04 6.78933636e+00],0.011968851089477539
