dual_annealing,time,matrix,degree
[1.69434499 1.72551464],2.4256856441497803,"[[ 4.38382703e-01-8.64797937e-18j -3.27177033e-17+4.96188783e-01j]
 [-3.27177033e-17-4.96188783e-01j  5.61617297e-01-6.38220542e-18j]]",(0.21949313547917798-0.5726523624855117j)
[1.70273394 3.27237272],2.340179443359375,"[[4.34222420e-01-7.23560473e-20j 1.47378966e-18+4.95654426e-01j]
 [1.47378966e-18-4.95654426e-01j 5.65777580e-01-8.85301173e-19j]]",(0.06463709181362821+0.7257549401049389j)
[3.14159265 3.34991617],2.2444605827331543,"[[3.74939946e-33-3.22275869e-50j 5.29804463e-34+6.12323400e-17j]
 [5.29804463e-34-6.12323400e-17j 1.00000000e+00+4.17165430e-18j]]",(0.6072539561508862+2.9498050423933413e-18j)
[0.         0.45842454],2.1832797527313232,"[[1.+1.13883423e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.016488330261132497+8.052774095114461e-18j)
[0.77635276 5.37963943],2.3874387741088867,"[[ 8.56736916e-01-2.16002499e-17j -2.94781281e-18+3.50340938e-01j]
 [-2.94781281e-18-3.50340938e-01j  1.43263084e-01+2.67848168e-18j]]",(0.29012685263807225+0.12655361419434694j)
[0.         4.38944936],2.0867104530334473,"[[1.-1.39998351e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.07676322562606101-9.899378345492613e-18j)
[1.92318936 3.30804308],2.243788242340088,"[[ 3.27427611e-01+1.20492318e-19j -2.44092314e-18+4.69274728e-01j]
 [-2.44092314e-18-4.69274728e-01j  6.72572389e-01-2.07995982e-18j]]",(0.07775078930644967+0.7963293674746068j)
[3.14159265 5.87154178],2.1262106895446777,"[[3.74939946e-33-5.39948902e-51j 4.42846517e-34+6.12323400e-17j]
 [4.42846517e-34-6.12323400e-17j 1.00000000e+00-1.34123780e-17j]]",(0.24143044237603412-9.483983408375022e-18j)
[1.21042063 3.55413814],2.3870790004730225,"[[6.76312913e-01+7.83891994e-18j 5.08044661e-18+4.67882204e-01j]
 [5.08044661e-18-4.67882204e-01j 3.23687087e-01-5.75104590e-18j]]",(0.18754535364423178+0.7488931729320458j)
[0.         3.08470492],2.147068977355957,"[[1.+3.07334186e-19j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.02705905626971076+2.1731808720088097e-19j)
