differential_evolution,fun,time
[0.         2.70505484],0.26517135174701756,0.39586710929870605
[2.60139036e-06 2.99870339e+00],0.047574154427151016,1.1675312519073486
[3.14159203 4.68552325],0.0562185829516612,0.871959924697876
[3.14159196 5.16443694],0.29215419376858415,1.3228323459625244
[1.35115181 1.87944195],0.4271634390241108,1.2430157661437988
[2.04875864 1.69743168],0.18567357230241593,0.7668344974517822
[1.54727264 3.00347103],0.8259157386676996,0.9693536758422852
[2.77372667 0.18260604],0.0025937892316854477,2.171807050704956
[0.57350851 5.77215663],0.01938497211817758,1.3755543231964111
[2.61009858 0.33101741],0.013388169273907319,1.6225779056549072
