differential_evolution,fun,time
[1.30560725 4.77344222],0.3441066800394368,0.8239929676055908
[1.64714954 2.88935613],0.6844692371124086,0.6313507556915283
[3.14159265 1.56727479],0.4839567662019585,0.35131335258483887
[2.43106789 4.76794981],0.06489561693466701,1.272944450378418
[3.14159265 3.70819159],0.5829835288147751,1.2756361961364746
[1.52441094 4.66470258],0.7042416011805093,1.4877946376800537
[2.80697407 5.49677128],0.0017365008819857641,2.752432107925415
[3.14159265 2.94287966],0.6206665748373147,1.3625283241271973
[1.44798308 5.06095674],0.6144551806062064,1.298403024673462
[1.02619762 2.74298801],0.1649107200404954,0.7277843952178955
