Nelder-Mead,time,matrix,degree
[1.92776933 0.71401556],0.28690457344055176,"[[3.25280166e-01+3.42197754e-18j 2.96503116e-18+4.68479434e-01j]
 [2.96503116e-18-4.68479434e-01j 6.74719834e-01-6.38395201e-18j]]",(0.6548822457441943+0j)
[1.28612871 4.76255051],0.18662595748901367,"[[ 6.40419228e-01-7.61557724e-19j -6.72218667e-18+4.79877526e-01j]
 [-6.72218667e-18-4.79877526e-01j  3.59580772e-01-1.16023787e-17j]]",(1.3228332164551744-3.268227717974125e-17j)
[0.8883292  1.83926637],0.19205784797668457,"[[ 8.15354738e-01-2.28537751e-18j -2.26564377e-17+3.88009522e-01j]
 [-2.26564377e-17-3.88009522e-01j  1.84645262e-01-6.17877843e-18j]]",(1.2344590325234133+0j)
[0.95091578 0.97483434],0.18819189071655273,"[[7.90468968e-01-9.48366927e-18j 5.18355528e-18+4.06973929e-01j]
 [5.18355528e-18-4.06973929e-01j 2.09531032e-01-6.22010279e-18j]]",(0.7624174805029924+0j)
[2.44054279 2.71533494],0.19213533401489258,"[[ 1.17917287e-01-1.61363272e-18j -1.20914728e-18+3.22510155e-01j]
 [-1.20914728e-18-3.22510155e-01j  8.82082713e-01+4.06899956e-18j]]",(1.2608520155446934+3.0710048160147378e-34j)
[3.14159265 2.96116726],0.18996834754943848,"[[ 3.74939946e-33+1.86648187e-50j -5.67068152e-34+6.12323400e-17j]
 [-5.67068152e-34-6.12323400e-17j  1.00000000e+00+5.54574602e-18j]]",(0.8473720598181945+2.432590575948753e-19j)
[0.92735685 4.60525003],0.1959977149963379,"[[7.99975345e-01+7.25984474e-18j 7.20836931e-18+4.00018490e-01j]
 [7.20836931e-18-4.00018490e-01j 2.00024655e-01-2.46462995e-18j]]",(1.190380882125565+3.6178026669911814e-33j)
[0.72130644 3.17089281],0.19207096099853516,"[[ 8.75471820e-01+2.96190055e-19j -3.95029155e-19+3.30183149e-01j]
 [-3.95029155e-19-3.30183149e-01j  1.24528180e-01-2.17784264e-20j]]",(1.3205908683073635-3.4690746438828022e-18j)
[1.47682819 2.54160739],0.19301605224609375,"[[ 5.46914956e-01-1.43393380e-18j -1.03698819e-17+4.97794121e-01j]
 [-1.03698819e-17-4.97794121e-01j  4.53085044e-01-5.16621474e-18j]]",(0.5884188690880837-5.303194920313171e-17j)
[1.12581348 0.61074097],0.21080946922302246,"[[7.15221199e-01-1.29473326e-17j 1.62888492e-17+4.51309024e-01j]
 [1.62888492e-17-4.51309024e-01j 2.84778801e-01+1.80730413e-18j]]",(0.5427379870663305+1.4825935045760662e-33j)
