dual_annealing,fun,time,3
[0.         1.26587199],0.9999327896327682,1.5294244289398193,(0.36100206001836477+0.5279614715273141j)
[0.         4.83683737],0.999932789632768,1.5180296897888184,(0.5630741014373566-0.6624333282593076j)
[0.         1.51066893],0.999932789632768,1.5222742557525635,(0.6327452110488808+0.6940351332203437j)
[0.         4.71843314],0.9999327896327681,1.6389989852905273,(0.6907039091738363-0.7151841065290644j)
[0.         2.99272886],0.9999327896327682,1.619032382965088,(1.7126569502709135+0.12894382289492867j)
[6.05773412e-06 1.56808136e+00],0.999938863772725,1.7069957256317139,(0.6942555677021033+0.7163310495509303j)
[1.57072912 3.1415926 ],1.000000055380224,1.823479175567627,(1.0853088357471448-0.45409881715141204j)
[3.14159265 6.28318531],1.000067210367232,1.6384994983673096,(1.723800406306004+2.453282633722053e-16j)
[0.         4.50336604],0.9999327896327681,1.5305149555206299,(0.9150511153839057-0.7563923195775977j)
[0.         6.27732855],0.9999327896327681,1.4700984954833984,(0.9856192043063127+0.00297078473886082j)
