Nelder-Mead,fun,time
[3.14159265 1.23732613],0.7954121434315318,0.0871884822845459
[3.14159265 1.23732613],1.3612859990165782,0.04230451583862305
[1.05661626 0.99936842],0.2050074119969234,0.062061309814453125
[3.14159265 1.23732613],0.7781594607746617,0.026623010635375977
[3.14159265 1.23732613],1.4741473408636603,0.024642229080200195
[3.14159265 1.23732613],1.8642309851698144,0.025103092193603516
[3.14159265 1.23732613],1.0874637681111823,0.025604248046875
[3.14159265 1.23732613],1.2670546082693146,0.03633856773376465
[3.14159265 1.23732613],0.5808557348858377,0.02517986297607422
[3.14159265 1.23732613],1.476610320034381,0.025708436965942383
