Powell,time,matrix,degree
[0.61417988 6.03657674],0.10148954391479492,"[[ 0.8811336 +0.22180994j  0.07034077-0.27942669j]
 [ 0.07034077-0.27942669j -0.0886123 -0.02230659j]]",(0.14019749694364816-0.55168872289727j)
[1.48909132 1.39002015],0.03054666519165039,"[[ 0.09723341-0.53199431j -0.4902114 -0.08959669j]
 [-0.4902114 -0.08959669j -0.08255975+0.45171013j]]",(0.9279428957943394+0.11838218619770151j)
[2.18613033e-09 4.71239284e+00],0.07745838165283203,"[[ 3.85740419e-06+1.00000000e+00j  1.09306516e-09-4.21639414e-15j]
 [ 1.09306516e-09-4.21639414e-15j -4.60879355e-24-1.19479145e-18j]]",(0.9372865758542684-0.9989185990640373j)
[2.10700645 0.26850835],0.08438372611999512,"[[ 0.23579603-0.06487996j -0.11402993-0.41442387j]
 [-0.11402993-0.41442387j -0.72837166+0.20041357j]]",(1.3041668644119-0.08264431640908265j)
[2.27233731 3.67662818],0.05236005783081055,"[[-0.15252434+0.09040137j  0.19473234+0.32855055j]
 [ 0.19473234+0.32855055j  0.70772618-0.41947023j]]",(0.4666969877722959+0.5877870345107792j)
[4.50005150e-11 4.71238696e+00],0.13094878196716309,"[[-2.01603444e-06+1.00000000e+00j  2.25002575e-11+4.53612941e-17j]
 [ 2.25002575e-11+4.53612941e-17j  1.02064080e-27-5.06261587e-22j]]",(0.9376400687989677-0.9989311328871837j)
[1.93928906 4.71238829],0.050708770751953125,"[[-2.19737368e-07+3.19895123e-01j  4.66435669e-01+3.20396713e-07j]
 [ 4.66435669e-01+3.20396713e-07j  4.67167033e-07-6.80104877e-01j]]",(0.7989841959898893+0.4508345303776368j)
[1.57887345 1.45947106],0.030452489852905273,"[[ 0.05509907-0.49289135j -0.49688866-0.05554592j]
 [-0.49688866-0.05554592j -0.05599639+0.50091839j]]",(0.7469520822137307-0.006238364879394961j)
[1.87189363 6.17892893],0.034491539001464844,"[[ 0.3498061 +0.03660223j  0.04969289-0.47491307j]
 [ 0.04969289-0.47491307j -0.64476413-0.06746539j]]",(1.0154445274724622-0.007124415325724837j)
[1.40097014 3.59908659],0.04791140556335449,"[[-0.52439628+0.25817676j  0.21767345+0.4421279j ]
 [ 0.21767345+0.4421279j   0.37276596-0.18352439j]]",(1.041169663559366+0.10229307881991546j)
