Powell,fun,time
[1.56303834 4.64000711],0.8963148288815608,0.07458257675170898
[3.14159265 4.71239282],0.07373798666048227,0.3558354377746582
[1.51913992 4.71239284],0.9986743651214477,0.05285811424255371
[2.27995282 2.19872167],0.10869522251402786,0.061864376068115234
[1.5665879 1.6570638],0.9651140556975828,0.09575152397155762
[1.79096292 4.71239284],0.9758774840075093,0.07056474685668945
[2.41724561 3.78635264],0.07443193869457754,0.13269710540771484
[1.24808913 0.04224832],0.29068262072745904,0.04871368408203125
[2.4992426  2.62800986],0.035077412500225724,0.5456075668334961
[2.96255938e-14 4.71239284e+00],0.043065804547117045,0.22786688804626465
