Powell,time,matrix,degree
[2.40041918 4.71238627],0.03731656074523926,"[[ 1.31161603e-01-1.60430457e-18j -1.29535385e-17+3.37577009e-01j]
 [-1.29535385e-17-3.37577009e-01j  8.68838397e-01+2.03829646e-17j]]",(1.7936636059227167e-17-0.29292749667439383j)
[1.84837775 6.14194286],0.10931825637817383,"[[ 3.62984771e-01-7.74871897e-19j -3.03345401e-18+4.80860507e-01j]
 [-3.03345401e-18-4.80860507e-01j  6.37015229e-01-7.57400809e-19j]]",(0.06769232119716065+0.17282481334774974j)
[1.72561375 4.71239284],0.03154706954956055,"[[4.22900148e-01-1.02867211e-17j 1.60060590e-17+4.94019851e-01j]
 [1.60060590e-17-4.94019851e-01j 5.77099852e-01+1.23647788e-17j]]",(3.0249991438583825e-17+0.4940198506156232j)
[3.14159265 4.71239282],0.11036872863769531,"[[ 4.85922427e-28-1.53276709e-44j -3.28121176e-31+2.20436482e-14j]
 [-3.28121176e-31-2.20436482e-14j  1.00000000e+00-5.67897106e-18j]]",(0.036050695436163196-4.01563894943928e-18j)
[1.56992696 1.54421551],0.02650737762451172,"[[ 5.00434686e-01+2.29083607e-17j -5.08931236e-18+4.99999811e-01j]
 [-5.08931236e-18-4.99999811e-01j  4.99565314e-01-7.84897509e-18j]]",(0.015817385551945857-0.4867043289980671j)
[3.14159265 4.71239284],0.15758633613586426,"[[ 1.72919358e-27-4.93154340e-44j -2.53554745e-30+4.15835735e-14j]
 [-2.53554745e-30-4.15835735e-14j  1.00000000e+00+2.44900736e-17j]]",(0.09359880939181156+1.7317097114229757e-17j)
[1.44953056 4.71239284],0.030146360397338867,"[[ 5.60484388e-01-2.22342599e-17j -2.86315981e-17+4.96328156e-01j]
 [-2.86315981e-17-4.96328156e-01j  4.39515612e-01-5.28814081e-19j]]",(3.039133439926991e-17-0.4963281563374769j)
[2.40041058 4.71238636],0.035628557205200195,"[[1.31164506e-01-5.52738817e-18j 5.06363231e-18+3.37580181e-01j]
 [5.06363231e-18-3.37580181e-01j 8.68835494e-01+2.30512280e-17j]]",(1.9449287313812315e-17+0.31763096637093513j)
[1.95064247 4.71239284],0.03405165672302246,"[[3.14611209e-01+1.78217468e-18j 1.66150494e-17+4.64360847e-01j]
 [1.66150494e-17-4.64360847e-01j 6.85388791e-01-2.04212750e-17j]]",(2.8433901253295664e-17+0.4643608471126933j)
[1.78741707 4.71239284],0.032523393630981445,"[[3.92534711e-01+2.08329732e-18j 1.46300622e-18+4.88314665e-01j]
 [1.46300622e-18-4.88314665e-01j 6.07465289e-01+2.08068461e-17j]]",(2.990064951614717e-17+0.48831466406420476j)
