Powell,time,matrix,degree
[1.67034794 1.31085171],0.031253814697265625,"[[4.50306369e-01+1.26389335e-17j 2.00320091e-17+4.97524414e-01j]
 [2.00320091e-17-4.97524414e-01j 5.49693631e-01-1.74160888e-17j]]",(0.4808087293039737-0.36964334178182146j)
[1.45514457 0.35982877],0.04331803321838379,"[[ 5.57697060e-01-5.64798286e-18j -6.88983241e-18+4.96659893e-01j]
 [-6.88983241e-18-4.96659893e-01j  4.42302940e-01+4.55776772e-18j]]",(0.17488045878799313-0.0318075997604168j)
[2.71183724 1.0069212 ],0.17700958251953125,"[[ 4.54661586e-02-1.27565499e-18j -1.46859767e-17+2.08324235e-01j]
 [-1.46859767e-17-2.08324235e-01j  9.54533841e-01-1.86811131e-17j]]",(0.17607424637812416-0.09698213449941466j)
[1.30985859 2.11643472],0.030589818954467773,"[[6.28993327e-01-1.12555936e-18j 5.56571676e-18+4.83074240e-01j]
 [5.56571676e-18-4.83074240e-01j 3.71006673e-01-7.84526022e-18j]]",(0.4129256991205976-0.7337830214284498j)
[1.10999677 5.68372098],0.17026805877685547,"[[7.22332205e-01+3.79042653e-18j 2.10902784e-18+4.47848625e-01j]
 [2.10902784e-18-4.47848625e-01j 2.77667795e-01+6.49302043e-18j]]",(0.2526852701249313+0.07714345984666947j)
[2.5526379  3.32710298],0.028183698654174805,"[[8.42391190e-02+2.91762140e-19j 1.73398035e-18+2.77746089e-01j]
 [1.73398035e-18-2.77746089e-01j 9.15760881e-01+6.47690110e-18j]]",(0.05122841041028399+0.5507193480487681j)
[0.9686343  3.74006283],0.0351259708404541,"[[7.83212776e-01+1.20407088e-17j 2.39236720e-17+4.12056457e-01j]
 [2.39236720e-17-4.12056457e-01j 2.16787224e-01-6.09980130e-19j]]",(0.23215033006097596+0.7524964821239739j)
[0.79369914 5.88173948],0.13539552688598633,"[[ 8.50606404e-01+3.25545756e-18j -2.55572309e-18+3.56476016e-01j]
 [-2.55572309e-18-3.56476016e-01j  1.49393596e-01-1.16437725e-18j]]",(0.1392934122683161+0.028340913176650374j)
[1.49155164 0.24402314],0.14722394943237305,"[[5.39580886e-01+1.19315458e-18j 5.59580092e-19+4.98430891e-01j]
 [5.59580092e-19-4.98430891e-01j 4.60419114e-01-3.30351766e-18j]]",(0.12042764703944508-0.01476723209748032j)
[1.15031927 5.51599245],0.1550126075744629,"[[7.04098000e-01-3.09634754e-18j 1.03003901e-17+4.56447156e-01j]
 [1.03003901e-17-4.56447156e-01j 2.95902000e-01+8.57022592e-19j]]",(0.3168279636676797+0.12786831160701498j)
