Nelder-Mead,time,Powell,time,COBYLA,time,Density Matrix,0,1
[3.14159265 4.93250359],0.028716087341308594,[3.14159265 4.71240384],0.05627727508544922,[3.14173759 4.55667233],0.015238046646118164,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.13250589 0.        ]
 [0.         0.86749411]]",[3.14159265 4.71239103],0.26501177201442727
[2.80069088 3.0559888 ],0.0410618782043457,[1.63025672 3.11294312],0.0327606201171875,[1.63033011 1.91107583],0.013153076171875,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.47029542+0.j         0.01429615-0.16653972j]
 [0.01429615+0.16653972j 0.52970458+0.j        ]]",[1.63023965 3.11294648],0.664746254670755
[0.7433691  4.93396457],0.062264204025268555,[0.76974475 4.92776005],0.035799503326416016,[0.82630016 4.91615734],0.014111042022705078,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.8224447 +0.j         -0.33011149+0.07436353j]
 [-0.33011149-0.07436353j  0.1775553 +0.j        ]]",[0.76975776 4.92774914],0.09285177112192378
[1.87052493 4.53323813],0.10802173614501953,[1.87053325 4.53327607],0.03595876693725586,[1.87042443 4.53319377],0.035140037536621094,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.35237537+0.j         -0.31111862-0.08511033j]
 [-0.31111862+0.08511033j  0.64762463+0.j        ]]",[1.87051307 4.53326783],0.3178987868943092
[3.14159265 5.00110587],0.025448322296142578,[3.62718556e-05 4.71239284e+00],0.033888816833496094,[3.14148835 4.30728492],0.013206243515014648,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.89776237 0.        ]
 [0.         0.10223763]]",[6.2763340e-06 4.7123878e+00],0.20448153625002974
[3.14159265 5.81747294],0.027238130569458008,[0.10591099 0.20963947],0.15793395042419434,[3.16901279 4.07105641],0.013083457946777344,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.99719034+0.j         0.01100104+0.05169961j]
 [0.01100104-0.05169961j 0.00280966+0.j        ]]",[0.1059121  0.20965911],1.6073358413044164e-05
[1.31111411 5.23036565],0.045185089111328125,[1.31111586 5.86688356],0.03713250160217285,[2.4755832  5.59814445],0.01579451560974121,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.62838558+0.j         -0.19540481+0.23924219j]
 [-0.19540481-0.23924219j  0.37161442+0.j        ]]",[1.31111689 5.86689889],0.405448905758941
[1.28135036 6.1798131 ],0.0795893669128418,[1.28131128 6.17980767],0.03461194038391113,[5.00180615 2.82280937],0.014069557189941406,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.64271735+0.j         -0.04945334+0.31549205j]
 [-0.04945334-0.31549205j  0.35728265+0.j        ]]",[1.28133622 6.17979873],0.32229904428462874
[3.14159265 6.2565275 ],0.029642343521118164,[1.45425523 1.43596371],0.03396463394165039,[3.61659334 4.41626277],0.017228126525878906,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.55813019+0.j         0.21660156+0.06675116j]
 [0.21660156-0.06675116j 0.44186981+0.j        ]]",[1.45427311 1.43597257],0.5510048301334523
[2.90241349 6.28318531],0.023010730743408203,[1.46910539 1.33034233],0.03040027618408203,[4.81412931 3.5068584 ],0.019063711166381836,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.55074915+0.j       0.17767061+0.118454j]
 [0.17767061-0.118454j 0.44925085+0.j      ]]",[1.46912172 1.33034691],0.6108764803247975
