direct,time,matrix,degree
[1.64032693 6.24812443],0.7275333404541016,"[[ 4.65262704e-01-6.83384167e-19j -9.05816446e-20+4.98791861e-01j]
 [-9.05816446e-20-4.98791861e-01j  5.34737296e-01+6.48301004e-19j]]",(0.017486407945286418+0.3198598894061581j)
[0.54897668 3.31625268],0.12929606437683105,"[[9.26529477e-01-3.74789656e-18j 3.44692391e-18+2.60907274e-01j]
 [3.44692391e-18-2.60907274e-01j 7.34705233e-02+3.01652118e-19j]]",(0.04534894611694712+0.5177271988378772j)
[3.14156605 3.14159265],0.6952424049377441,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.2180874482934178+2.696191587768829e-33j)
[3.14156605 3.14159265],0.7010116577148438,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.3314599361971976+2.6961915832959076e-33j)
[1.41754762 3.0754907 ],0.6752655506134033,"[[ 5.76324785e-01+1.54729546e-18j -1.52876143e-18+4.94140190e-01j]
 [-1.52876143e-18-4.94140190e-01j  4.23675215e-01-1.35496585e-20j]]",(0.03264184415630571-0.7463484935107987j)
[1.21852646 6.05551722],0.6661498546600342,"[[6.72514584e-01-4.91011708e-18j 3.68130930e-18+4.69295981e-01j]
 [3.68130930e-18-4.69295981e-01j 3.27485416e-01+2.11390481e-18j]]",(0.10592048102048972+0.15027742229230961j)
[3.14158379 3.14159265],0.6778993606567383,"[[1.96567701e-11+7.24679436e-44j 1.36098399e-38+4.43359562e-06j]
 [1.36098399e-38-4.43359562e-06j 1.00000000e+00-1.08698824e-33j]]",(0.09751378259517923-7.6861675645296496e-34j)
[1.28342248 2.82385163],0.6908457279205322,"[[ 6.41717373e-01+4.11408413e-20j -8.03010604e-18+4.79495763e-01j]
 [-8.03010604e-18-4.79495763e-01j  3.58282627e-01+3.05172348e-18j]]",(0.149806003738221-0.7607564063261133j)
[2.0554238  2.14591348],0.689530611038208,"[[2.67060620e-01+5.33081932e-18j 1.12466267e-17+4.42424282e-01j]
 [1.12466267e-17-4.42424282e-01j 7.32939380e-01+1.15691990e-17j]]",(0.2578895692958275-0.6830701546882469j)
[3.14156605 3.14159265],0.6929333209991455,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.4078554236346324+2.6961915819717757e-33j)
