Nelder-Mead,fun,time
[1.5707835  1.57076853],4.062751808788577e-05,0.22820401191711426
[1.5707835  1.57076853],4.062751808788577e-05,0.0985414981842041
[1.5707835  1.57076853],4.062751808788577e-05,0.0921177864074707
[1.5707835  1.57076853],4.062751808788577e-05,0.1442122459411621
[1.5707835  1.57076853],4.062751808788577e-05,0.10090327262878418
[1.5707835  1.57076853],4.062751808788577e-05,0.19698786735534668
[1.5707835  1.57076853],4.062751808788577e-05,0.20002102851867676
[1.5707835  1.57076853],4.062751808788577e-05,0.1722264289855957
[1.5707835  1.57076853],4.062751808788577e-05,0.12767553329467773
[1.5707835  1.57076853],4.062751808788577e-05,0.12089395523071289
