Powell,time,matrix,degree
[3.14159265 4.71239289],0.09544157981872559,"[[1.19714627e-28-4.34217728e-45j 1.66909264e-31+1.09414180e-14j]
 [1.66909264e-31-1.09414180e-14j 1.00000000e+00-1.81844305e-17j]]",(0.2654403548310969-1.2858334106471e-17j)
[1.82397136 4.71238898],0.04799294471740723,"[[ 3.74760482e-01-1.05089575e-17j -1.08881025e-17+4.84061012e-01j]
 [-1.08881025e-17-4.84061012e-01j  6.25239518e-01+1.56108086e-17j]]",(2.964018842980599e-17-0.48406101172097366j)
[1.60943184 4.83042151],0.028576135635375977,"[[ 4.80687048e-01+1.61300281e-18j -1.13918199e-17+4.99626871e-01j]
 [-1.13918199e-17-4.99626871e-01j  5.19312952e-01-1.42056255e-17j]]",(0.12294000697965579+0.4407982008729782j)
[2.05515549 5.19783843],0.05060601234436035,"[[ 2.67179336e-01-3.78340265e-18j -1.77473036e-17+4.42486766e-01j]
 [-1.77473036e-17-4.42486766e-01j  7.32820664e-01-9.28716039e-18j]]",(0.28597525549967956+0.2360231996925261j)
[3.14159265 4.71239281],0.15519189834594727,"[[3.03912884e-27-2.45302850e-44j 1.03444073e-30+5.51282944e-14j]
 [1.03444073e-30-5.51282944e-14j 1.00000000e+00-8.36350148e-18j]]",(0.37901100103220864-5.913888610239498e-18j)
[7.38596218e-15 4.71239285e+00],0.1067812442779541,"[[ 1.00000000e+00+1.11468677e-17j -2.38209908e-32+3.69298109e-15j]
 [-2.38209908e-32-3.69298109e-15j  1.36381093e-29+5.86247486e-46j]]",(0.06095165992786315+7.88202577285567e-18j)
[1.70834192 0.11425458],0.04745149612426758,"[[ 4.31443849e-01+1.16863023e-18j -2.04447454e-18+4.95277755e-01j]
 [-2.04447454e-18-4.95277755e-01j  5.68556151e-01-2.33804275e-18j]]",(0.056467344176771274-0.258702822103431j)
[1.99564946 4.71238898],0.055158376693725586,"[[2.93906514e-01-1.02890516e-17j 4.08156492e-17+4.55549641e-01j]
 [4.08156492e-17-4.55549641e-01j 7.06093486e-01+1.97127217e-19j]]",(2.789437046573192e-17+0.45554964068257175j)
[2.34729119 3.95508191],0.11457967758178711,"[[1.49608372e-01-2.31651212e-18j 1.77626675e-17+3.56687127e-01j]
 [1.77626675e-17-3.56687127e-01j 8.50391628e-01+1.17481630e-18j]]",(0.27012191817446857+0.5695141211596254j)
[0.42094073 4.80390466],0.2705850601196289,"[[ 9.56352471e-01+1.04834061e-17j -4.86318404e-18+2.04309623e-01j]
 [-4.86318404e-18-2.04309623e-01j  4.36475288e-02-1.71911705e-18j]]",(0.2034691201243833+0.18562177973657737j)
