Nelder-Mead,time,Powell,time,COBYLA,time,Density Matrix,0,1
[1.59203429 4.58048053],0.07019662857055664,[1.592019   4.58050392],0.031243562698364258,[2.9359301  4.01334099],0.026758909225463867,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.48939334+0.j        -0.07785025-0.0657343j]
 [-0.07785025+0.0657343j  0.51060666+0.j       ]]",[1.59200962 4.58050733],0.8353957965141269
[0.14465294 6.28318531],0.0190277099609375,[1.76851382 1.42325413],0.041138648986816406,[1.76850853 4.85985267],0.01823735237121582,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.40178275+0.j        0.27153183+0.0720726j]
 [0.27153183-0.0720726j 0.59821725+0.j       ]]",[1.76851774 1.42325068],0.42680221822402403
[0.41586404 6.28318531],0.019256591796875,[1.45620116 0.20102979],0.0331425666809082,[1.45627498 6.48432319],0.015579462051391602,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.55716688+0.j         0.09917621+0.20197737j]
 [0.09917621-0.20197737j 0.44283312+0.j        ]]",[1.45621027 0.20101467],0.5694875812387208
[0.         6.28318531],0.007508516311645508,[8.14664662e-14 4.71239286e+00],0.13039398193359375,[5.66225454e-05 5.36864744e+00],0.013028860092163086,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.95760835 0.        ]
 [0.         0.04239165]]",[5.55085688e-17 4.71238628e+00],0.08478330438748999
[0.         4.70095588],0.03465104103088379,[3.14154666 4.71239284],0.031708478927612305,[3.14145895 5.18631616],0.013470888137817383,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[6.54468830e-04 0.00000000e+00]
 [0.00000000e+00 9.99345531e-01]]",[3.14158883 4.7123878 ],0.0013127572469274346
[0.68170511 5.56156383],0.043051958084106445,[1.84736743 5.83573483],0.05590486526489258,[1.84741434 5.24913555],0.016023874282836914,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.36348545+0.j         -0.20810742+0.23650245j]
 [-0.20810742-0.23650245j  0.63651455+0.j        ]]",[1.84733908 5.83575104],0.3943031966016504
[0.44396269 6.28318531],0.029754638671875,[1.78132627 0.40160255],0.034728050231933594,[1.78146632 6.70816383],0.015051126480102539,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.39550435+0.j        0.19113575+0.2147652j]
 [0.19113575-0.2147652j 0.60449565+0.j       ]]",[1.78134007 0.4016123 ],0.4705771700104617
[0.         4.69693002],0.038040876388549805,[1.51410213 4.71239289],0.027120351791381836,[-1.03314036e-04  6.31288688e+00],0.01249074935913086,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.52833916 0.        ]
 [0.         0.47166084]]",[1.51408817 4.7123878 ],0.9983942660917848
[1.16963484 6.04411687],0.041674137115478516,[1.16960817 6.04412369],0.044763803482055664,[1.16961797 6.04424588],0.016355037689208984,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.69523866+0.j         -0.10899507+0.32729569j]
 [-0.10899507-0.32729569j  0.30476134+0.j        ]]",[1.16964631 6.04412657],0.23984022395009236
[0.2901377  6.28318531],0.019550085067749023,[1.72683324 1.27703503],0.03301239013671875,[1.72683073 5.00621887],0.014522314071655273,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.42230705+0.j         0.21252433+0.14301738j]
 [0.21252433-0.14301738j 0.57769295+0.j        ]]",[1.72681526 1.27703641],0.5204895246546153
