Powell,fun,time
[1.30560817 4.77342633],0.3441240192356663,0.14935898780822754
[1.64716597 2.88934647],0.6844910113795635,0.07715630531311035
[3.14153561 4.71239284],0.48401380796397175,0.04770708084106445
[2.43105246 4.76794869],0.0648971948040922,0.1053919792175293
[2.00096162 4.71239284],0.9089049149055617,0.19751572608947754
[1.52442034 4.66468925],0.7042640884821051,0.09368538856506348
[2.80697605 5.49678345],0.001734509483864638,0.6275279521942139
[1.95986767 4.71239284],0.9252693981441277,0.1622474193572998
[1.4465929  5.95369955],0.6012995702632183,0.06595277786254883
[1.02672323 2.74312594],0.16476082723480695,0.05397534370422363
