Nelder-Mead,time,matrix,degree,Powell,time,matrix,degree,differential_evolution,time,matrix,degree,dual_annealing,time,matrix,degree,Density Matrix
[1.57524768 4.78984042],0.023541688919067383,"[[4.97774330e-01+6.69730924e-18j 1.14862128e-18+4.99995046e-01j]
 [1.14862128e-18-4.99995046e-01j 5.02225670e-01-2.21176177e-17j]]",(0.026641327062453046+0.4613074760838428j),[1.61793536 5.68013095],0.03561758995056152,"[[ 4.76439213e-01-8.76508376e-18j -6.08371737e-18+4.99444581e-01j]
 [-6.08371737e-18-4.99444581e-01j  5.23560787e-01+6.39014703e-18j]]",(0.026698491127950412+0.4597704849711621j),[1.57524768 4.78984042],0.026928186416625977,"[[4.97774330e-01+6.69730924e-18j 1.14862128e-18+4.99995046e-01j]
 [1.14862128e-18-4.99995046e-01j 5.02225670e-01-2.21176177e-17j]]",(0.026641327062453046+0.4613074760838428j),[1.61793536 5.68013095],0.02293872833251953,"[[ 4.76439213e-01-8.76508376e-18j -6.08371737e-18+4.99444581e-01j]
 [-6.08371737e-18-4.99444581e-01j  5.23560787e-01+6.39014703e-18j]]",(0.026698491127950412+0.4597704849711621j),"  (0, 0)	(0.49778368753096597+0j)
  (0, 1)	(-0.026641327051528312+0.038687570097471626j)
  (1, 0)	(-0.026641327051528312-0.038687570097471626j)
  (1, 1)	(0.5022163124690341+0j)"
[3.14154666 4.71239284],0.03390860557556152,"[[5.28857509e-10-2.08441495e-26j 9.04788864e-22+2.29969021e-05j]
 [9.04788864e-22-2.29969021e-05j 9.99999999e-01+2.68740243e-17j]]",(0.2190262083392883+1.900280502499683e-17j),[3.14159265 5.01634078],0.04886937141418457,"[[2.66963127e-18-2.26389204e-35j 1.38306915e-25+1.63390063e-09j]
 [1.38306915e-25-1.63390063e-09j 1.00000000e+00-1.71304425e-17j]]",(0.21902621029449829-1.2113052026851287e-17j),[3.14154666 4.71239284],0.03220248222351074,"[[5.28857509e-10-2.08441495e-26j 9.04788864e-22+2.29969021e-05j]
 [9.04788864e-22-2.29969021e-05j 9.99999999e-01+2.68740243e-17j]]",(0.2190262083392883+1.900280502499683e-17j),[3.14159265 5.01634078],0.04584813117980957,"[[2.66963127e-18-2.26389204e-35j 1.38306915e-25+1.63390063e-09j]
 [1.38306915e-25-1.63390063e-09j 1.00000000e+00-1.71304425e-17j]]",(0.21902621029449829-1.2113052026851287e-17j),"  (0, 0)	(0.15487491855683058+0j)
  (1, 1)	(0.8451250814431694+0j)"
[3.14154666 4.71239284],0.036774396896362305,"[[ 5.28857511e-10+1.79517528e-26j -1.46813229e-22+2.29969022e-05j]
 [-1.46813229e-22-2.29969022e-05j  9.99999999e-01+2.63754850e-17j]]",(0.0030286719803412836+1.8650820811234774e-17j),[3.14159265 5.30308569],0.08505034446716309,"[[ 1.00285568e-19-2.05623536e-36j -2.56459418e-27+3.16678967e-10j]
 [-2.56459418e-27-3.16678967e-10j  1.00000000e+00-2.37457884e-17j]]",(0.003028760035482838-1.6790808024622476e-17j),[3.14154666 4.71239284],0.029919862747192383,"[[ 5.28857511e-10+1.79517528e-26j -1.46813229e-22+2.29969022e-05j]
 [-1.46813229e-22-2.29969022e-05j  9.99999999e-01+2.63754850e-17j]]",(0.0030286719803412836+1.8650820811234774e-17j),[3.14159265 5.30308569],0.08466339111328125,"[[ 1.00285568e-19-2.05623536e-36j -2.56459418e-27+3.16678967e-10j]
 [-2.56459418e-27-3.16678967e-10j  1.00000000e+00-2.37457884e-17j]]",(0.003028760035482838-1.6790808024622476e-17j),"  (0, 0)	(0.002141656759676767+0j)
  (1, 1)	(0.9978583432403232+0j)"
[1.70369111 6.23096408],0.04487109184265137,"[[ 4.33748026e-01+8.66642395e-19j -2.33145901e-18+4.95591239e-01j]
 [-2.33145901e-18-4.95591239e-01j  5.66251974e-01-5.57902107e-19j]]",(0.02586862266365745+0.257260351547817j),[1.84040886 6.17506562],0.048842430114746094,"[[ 3.66821008e-01+9.78400242e-19j -4.13832188e-18+4.81937087e-01j]
 [-4.13832188e-18-4.81937087e-01j  6.33178992e-01+1.02363702e-18j]]",(0.02804195743947899+0.22472599799592394j),[1.70369111 6.23096408],0.041882991790771484,"[[ 4.33748026e-01+8.66642395e-19j -2.33145901e-18+4.95591239e-01j]
 [-2.33145901e-18-4.95591239e-01j  5.66251974e-01-5.57902107e-19j]]",(0.02586862266365745+0.257260351547817j),[1.84040886 6.17506562],0.04784679412841797,"[[ 3.66821008e-01+9.78400242e-19j -4.13832188e-18+4.81937087e-01j]
 [-4.13832188e-18-4.81937087e-01j  6.33178992e-01+1.02363702e-18j]]",(0.02804195743947899+0.22472599799592394j),"  (0, 0)	(0.43375146611872517+0j)
  (0, 1)	(-0.02586862265907724+0.2383308871299736j)
  (1, 0)	(-0.02586862265907724-0.2383308871299736j)
  (1, 1)	(0.5662485338812747+0j)"
[1.59851985 4.68034102],0.026928186416625977,"[[4.86140014e-01-2.27482910e-18j 1.65756963e-17+4.99807864e-01j]
 [1.65756963e-17-4.99807864e-01j 5.13859986e-01-1.36841222e-18j]]",(0.11498375139026483+0.5158171755995515j),[1.68962708 4.57404728],0.013962268829345703,"[[4.40724355e-01+1.09509018e-17j 2.75152259e-18+4.96473965e-01j]
 [2.75152259e-18-4.96473965e-01j 5.59275645e-01-5.12829938e-18j]]",(0.11585252646831895+0.5086401779545742j),[1.59851985 4.68034102],0.02593064308166504,"[[4.86140014e-01-2.27482910e-18j 1.65756963e-17+4.99807864e-01j]
 [1.65756963e-17-4.99807864e-01j 5.13859986e-01-1.36841222e-18j]]",(0.11498375139026483+0.5158171755995515j),[1.68962708 4.57404728],0.013962507247924805,"[[4.40724355e-01+1.09509018e-17j 2.75152259e-18+4.96473965e-01j]
 [2.75152259e-18-4.96473965e-01j 5.59275645e-01-5.12829938e-18j]]",(0.11585252646831895+0.5086401779545742j),"  (0, 0)	(0.48613813632572866+0j)
  (0, 1)	(-0.11498375138881256-0.016009311720962184j)
  (1, 0)	(-0.11498375138881256+0.016009311720962184j)
  (1, 1)	(0.5138618636742713+0j)"
[1.81043224 4.71239284],0.028922319412231445,"[[3.81325522e-01+2.36161588e-18j 8.88275744e-18+4.85712228e-01j]
 [8.88275744e-18-4.85712228e-01j 6.18674478e-01-2.41287476e-17j]]",(2.9741296255541617e-17+0.48571222782354334j),[3.14159264 5.01634078],0.04787182807922363,"[[ 6.36203542e-17+1.24090341e-33j -1.48953386e-26+7.97623684e-09j]
 [-1.48953386e-26-7.97623684e-09j  1.00000000e+00+1.95234541e-17j]]",(0.5392690266430853+1.3805166779953181e-17j),[1.81043224 4.71239284],0.02792525291442871,"[[3.81325522e-01+2.36161588e-18j 8.88275744e-18+4.85712228e-01j]
 [8.88275744e-18-4.85712228e-01j 6.18674478e-01-2.41287476e-17j]]",(2.9741296255541617e-17+0.48571222782354334j),[3.14159264 5.01634078],0.05083918571472168,"[[ 6.36203542e-17+1.24090341e-33j -1.48953386e-26+7.97623684e-09j]
 [-1.48953386e-26-7.97623684e-09j  1.00000000e+00+1.95234541e-17j]]",(0.5392690266430853+1.3805166779953181e-17j),"  (0, 0)	(0.3813207856231947+0j)
  (1, 1)	(0.6186792143768054+0j)"
[2.25936063e-09 4.71240194e+00],0.051718711853027344,"[[1.00000000e+00+1.66095026e-17j 6.71790760e-26+1.12968031e-09j]
 [6.71790760e-26-1.12968031e-09j 1.27617761e-18-3.41406183e-35j]]",(0.10229961191529002+1.1744691950225063e-17j),[8.34773940e-09 4.15455537e+00],0.0638284683227539,"[[1.00000000e+00-2.28765139e-17j 3.60931809e-26+4.17386970e-09j]
 [3.60931809e-26-4.17386970e-09j 1.74211883e-17-7.66671603e-34j]]",(0.10229961191528991-1.6176138114365123e-17j),[2.25936063e-09 4.71240194e+00],0.06978631019592285,"[[1.00000000e+00+1.66095026e-17j 6.71790760e-26+1.12968031e-09j]
 [6.71790760e-26-1.12968031e-09j 1.27617761e-18-3.41406183e-35j]]",(0.10229961191529002+1.1744691950225063e-17j),[8.34773940e-09 4.15455537e+00],0.050469398498535156,"[[1.00000000e+00-2.28765139e-17j 3.60931809e-26+4.17386970e-09j]
 [3.60931809e-26-4.17386970e-09j 1.74211883e-17-7.66671603e-34j]]",(0.10229961191528991-1.6176138114365123e-17j),"  (0, 0)	(0.9276632507019462+0j)
  (1, 1)	(0.0723367492980537+0j)"
[3.14152675 4.71239284],0.030916929244995117,"[[ 1.08566294e-09-4.08405381e-26j -9.48727232e-23+3.29493997e-05j]
 [-9.48727232e-23-3.29493997e-05j  9.99999999e-01-5.08006260e-18j]]",(0.3304704643610372-3.5921467103206495e-18j),[3.14159263 5.01918995],0.052858591079711914,"[[ 1.28878261e-16-3.99611003e-33j -3.81200349e-25+1.13524561e-08j]
 [-3.81200349e-25-1.13524561e-08j  1.00000000e+00+1.33985691e-17j]]",(0.33047046753899817+9.47421908092706e-18j),[3.14152675 4.71239284],0.032631635665893555,"[[ 1.08566294e-09-4.08405381e-26j -9.48727232e-23+3.29493997e-05j]
 [-9.48727232e-23-3.29493997e-05j  9.99999999e-01-5.08006260e-18j]]",(0.3304704643610372-3.5921467103206495e-18j),[3.14159263 5.01918995],0.05182671546936035,"[[ 1.28878261e-16-3.99611003e-33j -3.81200349e-25+1.13524561e-08j]
 [-3.81200349e-25-1.13524561e-08j  1.00000000e+00+1.33985691e-17j]]",(0.33047046753899817+9.47421908092706e-18j),"  (0, 0)	(0.23367790857871482+0j)
  (1, 1)	(0.7663220914212853+0j)"
[1.43411913 2.76596403],0.032975196838378906,"[[ 5.68126028e-01-3.74067940e-18j -1.24900501e-17+4.95337102e-01j]
 [-1.24900501e-17-4.95337102e-01j  4.31873972e-01+5.87351892e-18j]]",(0.18170754622402996-0.6560246071296765j),[1.29700146 2.29484824],0.08934736251831055,"[[6.35193445e-01+1.03815535e-17j 9.92821849e-18+4.81375874e-01j]
 [9.92821849e-18-4.81375874e-01j 3.64806555e-01+6.92429196e-18j]]",(0.1835689927883514-0.6355526577518653j),[1.43411913 2.76596403],0.02599310874938965,"[[ 5.68126028e-01-3.74067940e-18j -1.24900501e-17+4.95337102e-01j]
 [-1.24900501e-17-4.95337102e-01j  4.31873972e-01+5.87351892e-18j]]",(0.18170754622402996-0.6560246071296765j),[1.29700146 2.29484824],0.09390425682067871,"[[6.35193445e-01+1.03815535e-17j 9.92821849e-18+4.81375874e-01j]
 [9.92821849e-18-4.81375874e-01j 3.64806555e-01+6.92429196e-18j]]",(0.1835689927883514-0.6355526577518653j),"  (0, 0)	(0.5681183169834235+0j)
  (0, 1)	(0.18170754620071564-0.16068750548760788j)
  (1, 0)	(0.18170754620071564+0.16068750548760788j)
  (1, 1)	(0.4318816830165764+0j)"
[2.43749120e-09 4.71240302e+00],0.04914069175720215,"[[1.00000000e+00-2.72648603e-17j 1.87342354e-26+1.21874560e-09j]
 [1.87342354e-26-1.21874560e-09j 1.48534084e-18+4.26487367e-36j]]",(0.38140268413617584-1.927916763786531e-17j),[1.54746965e-08 2.92506177e+00],0.048871517181396484,"[[ 1.00000000e+00+5.53699925e-18j -1.88855168e-26+7.73734825e-09j]
 [-1.88855168e-26-7.73734825e-09j  5.98665580e-17-3.81940028e-34j]]",(0.38140268413617584+3.915249718593439e-18j),[2.43749120e-09 4.71240302e+00],0.036962270736694336,"[[1.00000000e+00-2.72648603e-17j 1.87342354e-26+1.21874560e-09j]
 [1.87342354e-26-1.21874560e-09j 1.48534084e-18+4.26487367e-36j]]",(0.38140268413617584-1.927916763786531e-17j),[1.54746965e-08 2.92506177e+00],0.0631711483001709,"[[ 1.00000000e+00+5.53699925e-18j -1.88855168e-26+7.73734825e-09j]
 [-1.88855168e-26-7.73734825e-09j  5.98665580e-17-3.81940028e-34j]]",(0.38140268413617584+3.915249718593439e-18j),"  (0, 0)	(0.7303075756845592+0j)
  (1, 1)	(0.26969242431544094+0j)"
