Nelder-Mead,time,matrix,degree,Powell,time,matrix,degree,differential_evolution,time,matrix,degree,dual_annealing,time,matrix,degree,Density Matrix
[1.57081236 4.71581708],0.05573678016662598,"[[4.99991985e-01+7.59444487e-18j 1.57906269e-18+5.00000000e-01j]
 [1.57906269e-18-5.00000000e-01j 5.00008015e-01+5.87019933e-18j]]",(0.0031309896372155007+0.49828913290514004j),[1.58487302 5.22321419],0.04952716827392578,"[[4.92961885e-01-1.70468811e-18j 2.53262688e-17+4.99950462e-01j]
 [2.53262688e-17-4.99950462e-01j 5.07038115e-01+2.35713492e-18j]]",(0.0031316123066680813+0.4981405287248955j),[1.57082179 4.71581072],0.051019906997680664,"[[4.99987269e-01-4.31388314e-18j 2.87630077e-18+5.00000000e-01j]
 [2.87630077e-18-5.00000000e-01j 5.00012731e-01-2.65118300e-17j]]",(0.0031309896369351897+0.49828913285193605j),[1.57436433 5.21248726],0.12671971321105957,"[[ 4.98216000e-01+3.80125261e-18j -3.38192712e-18+4.99996817e-01j]
 [-3.38192712e-18-4.99996817e-01j  5.01784000e-01-2.01139171e-18j]]",(0.003131029199513203+0.498279654183784j),"  (0, 0)	(0.4999872695139192+0j)
  (0, 1)	(-0.0031309896369351407+0.0017108669859966714j)
  (1, 0)	(-0.0031309896369351407-0.0017108669859966714j)
  (1, 1)	(0.500012730486081+0j)"
[1.96651568 1.47195745],0.0458066463470459,"[[3.07263975e-01+5.89098008e-18j 1.87320461e-17+4.61359756e-01j]
 [1.87320461e-17-4.61359756e-01j 6.92736025e-01-1.19787592e-17j]]",(0.341128679053868-0.41582318845093125j),[2.08131129 1.43809305],0.054140567779541016,"[[2.55686694e-01-4.97075295e-18j 3.13631412e-17+4.36246500e-01j]
 [3.13631412e-17-4.36246500e-01j 7.44313306e-01+1.08910401e-17j]]",(0.34452257905765304-0.38686103936599786j),[1.96652212 1.47193432],0.1156623363494873,"[[ 3.07261005e-01+9.77440438e-18j -4.32643472e-17+4.61358515e-01j]
 [-4.32643472e-17-4.61358515e-01j  6.92738995e-01+1.52815760e-17j]]",(0.34112867904346644-0.4158219476923952j),[2.08131218 1.43809288],0.05488300323486328,"[[ 2.55686305e-01-9.17972104e-18j -2.67848112e-17+4.36246282e-01j]
 [-2.67848112e-17-4.36246282e-01j  7.44313695e-01-1.19983296e-17j]]",(0.34452263273915634-0.38686076327589203j),"  (0, 0)	(0.3072610047954305+0j)
  (0, 1)	(0.34112867904346644+0.04553656765386579j)
  (1, 0)	(0.34112867904346644-0.04553656765386579j)
  (1, 1)	(0.6927389952045696+0j)"
[1.62388144 2.93770865],0.03257417678833008,"[[ 4.73469906e-01+1.03748335e-18j -6.48022794e-18+4.99295658e-01j]
 [-6.48022794e-18-4.99295658e-01j  5.26530094e-01-1.77762186e-18j]]",(0.10108633228011894-0.6213809249515447j),[1.73663941 2.45001189],0.04873490333557129,"[[4.17458049e-01-9.52915515e-18j 9.32868526e-18+4.93139763e-01j]
 [9.32868526e-18-4.93139763e-01j 5.82541951e-01-9.72436276e-18j]]",(0.10191181444180131-0.6102417289510808j),[1.62388336 2.93772552],0.13052916526794434,"[[ 4.73468947e-01+5.68383145e-19j -1.86015540e-19+4.99295607e-01j]
 [-1.86015540e-19-4.99295607e-01j  5.26531053e-01-2.14851748e-18j]]",(0.10108633227988446-0.6213808740064017j),[1.73664382 2.45001149],0.12256097793579102,"[[ 4.17455871e-01+3.58678314e-18j -1.32384659e-17+4.93139399e-01j]
 [-1.32384659e-17-4.93139399e-01j  5.82544129e-01+4.83898314e-18j]]",(0.1019118803697949-0.6102409725455007j),"  (0, 0)	(0.47346894753682334+0j)
  (0, 1)	(0.1010863322798845-0.12208526692344902j)
  (1, 0)	(0.1010863322798845+0.12208526692344902j)
  (1, 1)	(0.5265310524631768+0j)"
[1.44322869 4.71239284],0.03247237205505371,"[[5.63610962e-01+1.86396185e-17j 3.80833615e-17+4.95937139e-01j]
 [3.80833615e-17-4.95937139e-01j 4.36389038e-01-8.77386437e-18j]]",(3.0367391469284426e-17+0.4959371386170671j),[1.80031325e-09 3.58498892e+00],0.05195474624633789,"[[1.00000000e+00+3.22442396e-18j 2.66178672e-27+9.00156626e-10j]
 [2.66178672e-27-9.00156626e-10j 8.10281952e-19+9.24582643e-36j]]",(0.6171470231049244+2.2800120462460628e-18j),[1.4432283  4.71238898],0.08046507835388184,"[[5.63611155e-01-1.95852232e-17j 3.29303304e-17+4.95937114e-01j]
 [3.29303304e-17-4.95937114e-01j 4.36388845e-01+8.30450089e-18j]]",(3.036738995761095e-17+0.4959371139295658j),[2.49333629e-08 6.28318521e+00],0.09145879745483398,"[[ 1.00000000e+00-1.36867607e-24j -1.90520237e-32+1.24666815e-08j]
 [-1.90520237e-32-1.24666815e-08j  1.55418147e-16-5.47824999e-40j]]",(0.6171470231049239-9.678001311937808e-25j),"  (0, 0)	(0.5636111549734171+0j)
  (1, 1)	(0.436388845026583+0j)"
[1.56852793 1.61955187],0.028292417526245117,"[[ 5.01134198e-01-1.99153568e-17j -6.11541084e-18+4.99998714e-01j]
 [-6.11541084e-18-4.99998714e-01j  4.98865802e-01-9.37066912e-19j]]",(0.023144140504090794-0.5243755498564735j),[1.53711774 2.38213003],0.04283785820007324,"[[5.16836111e-01-9.27327891e-18j 2.18895838e-18+4.99716465e-01j]
 [2.18895838e-18-4.99716465e-01j 4.83163889e-01-2.54002434e-18j]]",(0.02316490696236284-0.5236234715304158j),[1.56853143 1.61956946],0.11026310920715332,"[[5.01132446e-01-1.73886274e-17j 6.79813845e-18+4.99998718e-01j]
 [6.79813845e-18-4.99998718e-01j 4.98867554e-01-2.70270961e-18j]]",(0.02314414050383305-0.5243755538329455j),[1.53711902 2.38212868],0.12911105155944824,"[[ 5.16835470e-01-5.40905528e-18j -1.54801328e-17+4.99716487e-01j]
 [-1.54801328e-17-4.99716487e-01j  4.83164530e-01-1.12068918e-18j]]",(0.023164905264204977-0.5236235314782051j),"  (0, 0)	(0.5011324462551936+0j)
  (0, 1)	(0.023144140503833052-0.024376836269102857j)
  (1, 0)	(0.023144140503833052+0.024376836269102857j)
  (1, 1)	(0.49886755374480635+0j)"
[1.32955197 3.45481683],0.05958819389343262,"[[ 6.19455565e-01-4.72750648e-18j -1.10328580e-17+4.85520718e-01j]
 [-1.10328580e-17-4.85520718e-01j  3.80544435e-01-3.31508749e-18j]]",(0.14959895629517728+0.7473041757081517j),[1.19349571 3.66091197],0.0748605728149414,"[[6.84206150e-01-5.79836271e-20j 4.14529399e-18+4.64831253e-01j]
 [4.14529399e-18-4.64831253e-01j 3.15793850e-01+6.29154397e-18j]]",(0.15075148595659985+0.7210595747811592j),[1.32957514 3.45480774],0.11640644073486328,"[[6.19444315e-01+7.48381639e-20j 1.83951579e-17+4.85523486e-01j]
 [1.83951579e-17-4.85523486e-01j 3.80555685e-01+3.53228605e-20j]]",(0.1495989562625816+0.7473069435566785j),[1.19361411 3.66076298],0.10999464988708496,"[[6.84151111e-01-2.42932711e-19j 1.65567896e-17+4.64853061e-01j]
 [1.65567896e-17-4.64853061e-01j 3.15848889e-01-3.18919852e-18j]]",(0.15074943946568453+0.7210910045738229j),"  (0, 0)	(0.6194443151798608+0j)
  (0, 1)	(-0.14959895626258157-0.2617834574747516j)
  (1, 0)	(-0.14959895626258157+0.2617834574747516j)
  (1, 1)	(0.3805556848201394+0j)"
[1.5184339 4.8756734],0.032601356506347656,"[[5.26169252e-01-2.59266866e-17j 5.40034809e-18+4.99314701e-01j]
 [5.40034809e-18-4.99314701e-01j 4.73830748e-01-1.08265633e-17j]]",(0.13496562102379875+0.4181523906558605j),[1.40611228 5.2538084 ],0.05605459213256836,"[[5.81970330e-01+1.19310059e-17j 1.86331077e-17+4.93235101e-01j]
 [1.86331077e-17-4.93235101e-01j 4.18029670e-01-5.06767779e-18j]]",(0.13724979247573194+0.40521489448231035j),[1.51842619 4.8756609 ],0.12729310989379883,"[[5.26173102e-01+7.69695638e-18j 4.03306624e-17+4.99314499e-01j]
 [4.03306624e-17-4.99314499e-01j 4.73826898e-01+2.43974315e-18j]]",(0.13496562101343842+0.41815218890333644j),[1.40611227 5.25380453],0.043912410736083984,"[[5.81970336e-01-8.32243440e-19j 1.48951930e-17+4.93235100e-01j]
 [1.48951930e-17-4.93235100e-01j 4.18029664e-01-1.15634747e-17j]]",(0.13724979304433552+0.40521489171514646j),"  (0, 0)	(0.5261731019363118+0j)
  (0, 1)	(-0.13496562101343837+0.08116230991557359j)
  (1, 0)	(-0.13496562101343837-0.08116230991557359j)
  (1, 1)	(0.47382689806368816+0j)"
[1.30673566 3.42449239],0.03343915939331055,"[[6.30501304e-01-1.75847441e-18j 7.59725107e-18+4.82669048e-01j]
 [7.59725107e-18-4.82669048e-01j 3.69498696e-01-2.01083469e-19j]]",(0.1347351001409351+0.7624654614774283j),[1.17288496 3.59047495],0.05347776412963867,"[[ 6.93746866e-01-5.61332436e-18j -7.95660853e-18+4.60936169e-01j]
 [-7.95660853e-18-4.60936169e-01j  3.06253134e-01+6.75438720e-18j]]",(0.13569565760768032+0.7354891119776581j),[1.30673801 3.42449704],0.09274768829345703,"[[6.30500168e-01+3.26807546e-18j 1.03101404e-17+4.82669355e-01j]
 [1.03101404e-17-4.82669355e-01j 3.69499832e-01+5.62411110e-19j]]",(0.13473510014064516+0.7624657685565812j),[1.17297583 3.59036912],0.12945127487182617,"[[ 6.93704980e-01+9.71946585e-18j -1.63048641e-17+4.60953773e-01j]
 [-1.63048641e-17-4.60953773e-01j  3.06295020e-01-5.24285935e-18j]]",(0.13569432816692725+0.7355137971164507j),"  (0, 0)	(0.6305001680083027+0j)
  (0, 1)	(-0.1347351001406452-0.27979641366179536j)
  (1, 0)	(-0.1347351001406452+0.27979641366179536j)
  (1, 1)	(0.3694998319916973+0j)"
[3.02146319e-14 4.71239282e+00],0.09922146797180176,"[[ 1.00000000e+00-2.21107408e-17j -1.44386477e-31+1.51073160e-14j]
 [-1.44386477e-31-1.51073160e-14j  2.28230996e-28-9.32748523e-45j]]",(0.01294307981114617-1.5634654761927453e-17j),[1.03680565e-09 3.85177387e+00],0.05484652519226074,"[[ 1.00000000e+00-2.11142478e-17j -1.88141347e-26+5.18402827e-10j]
 [-1.88141347e-26-5.18402827e-10j  2.68741491e-19-9.86877688e-37j]]",(0.01294307981114609-1.4930027767586917e-17j),[1.27011543e-17 5.34711779e+00],0.1607038974761963,"[[ 1.00000000e+00-8.97984711e-18j -1.56000184e-34+6.35057717e-18j]
 [-1.56000184e-34-6.35057717e-18j  4.03298304e-35+9.53298080e-52j]]",(0.012943079811146101-6.349710787858174e-18j),[1.72876355e-09 5.18523718e+00],0.09499692916870117,"[[ 1.00000000e+00+1.74819254e-17j -5.54526704e-27+8.64381776e-10j]
 [-5.54526704e-27-8.64381776e-10j  7.47155855e-19-8.62593596e-36j]]",(0.012943079811146065+1.2361588002162793e-17j),"  (0, 0)	(0.9908478604960999+0j)
  (1, 1)	(0.00915213950390017+0j)"
[1.00988203e-13 4.71239283e+00],0.09993577003479004,"[[1.00000000e+00+1.38862226e-17j 1.23315104e-30+5.04941014e-14j]
 [1.23315104e-30-5.04941014e-14j 2.54965428e-27-6.89084811e-44j]]",(0.1260547581918153+9.819042165913119e-18j),[2.01377921e-09 3.85177387e+00],0.05488419532775879,"[[ 1.00000000e+00-2.09595841e-17j -4.23253563e-26+1.00688961e-09j]
 [-4.23253563e-26-1.00688961e-09j  1.01382668e-18-8.97192891e-37j]]",(0.12605475819181525-1.4820664023386283e-17j),[1.47314532e-17 5.37308925e+00],0.19432449340820312,"[[ 1.00000000e+00-9.60468973e-18j -2.87068589e-35+7.36572660e-18j]
 [-2.87068589e-35-7.36572660e-18j  5.42539283e-35+7.33915304e-52j]]",(0.12605475819181525-6.791541240613708e-18j),[4.47456239e-09 5.18523717e+00],0.09604787826538086,"[[1.00000000e+00-5.26658516e-18j 3.96911139e-26+2.23728119e-09j]
 [3.96911139e-26-2.23728119e-09j 5.00542714e-18+6.13755944e-35j]]",(0.1260547581918152-3.724038078587753e-18j),"  (0, 0)	(0.9108658256817369+0j)
  (1, 1)	(0.0891341743182631+0j)"
