Powell,time,matrix,degree
[1.62465111 1.78140326],0.0359034538269043,"[[ 4.73085625e-01+7.20999647e-18j -3.83329063e-17+4.99275091e-01j]
 [-3.83329063e-17-4.99275091e-01j  5.26914375e-01-1.30007336e-17j]]",(0.12071524226109172-0.6036562107301108j)
[1.57078728 1.57003968],0.04488182067871094,"[[ 5.00004523e-01+1.12055571e-17j -2.73175083e-17+5.00000000e-01j]
 [-2.73175083e-17-5.00000000e-01j  4.99995477e-01+2.33226144e-18j]]",(0.002653101846057097-0.49962268482968675j)
[1.20160298 0.37575664],0.03889584541320801,"[[6.80431624e-01-3.20866228e-18j 5.32083443e-18+4.66309371e-01j]
 [5.32083443e-18-4.66309371e-01j 3.19568376e-01+3.19010959e-19j]]",(0.17111401921196248-0.17298624967397544j)
[3.14154666 4.71239284],0.052377939224243164,"[[ 5.28857509e-10+1.90636245e-26j -1.06547411e-21+2.29969022e-05j]
 [-1.06547411e-21-2.29969022e-05j  9.99999999e-01+2.63721493e-17j]]",(0.2526384985027062+1.8647925561621943e-17j)
[1.66496196 3.28691409],0.03290367126464844,"[[4.52986735e-01-7.73610647e-19j 7.34589959e-18+4.97784846e-01j]
 [7.34589959e-18-4.97784846e-01j 5.47013265e-01-1.57239723e-18j]]",(0.07208288638454405+0.6911724317110876j)
[1.79833423 0.17356938],0.03493952751159668,"[[3.87210215e-01+7.08422823e-19j 1.98073137e-18+4.87112374e-01j]
 [1.98073137e-18-4.87112374e-01j 6.12789785e-01+3.16695104e-18j]]",(0.08411945842916142-0.20378928541005012j)
[1.24208776e-13 4.71239282e+00],0.09646749496459961,"[[ 1.00000000e+00+1.80977365e-17j -1.85663045e-30+6.21043878e-14j]
 [-1.85663045e-30-6.21043878e-14j  3.85695498e-27-8.93906091e-44j]]",(0.0008798584386126676+1.2797032205772691e-17j)
[3.14154666 4.71239284],0.03292059898376465,"[[ 5.28857511e-10+1.79517528e-26j -1.46813229e-22+2.29969022e-05j]
 [-1.46813229e-22-2.29969022e-05j  9.99999999e-01+2.63754850e-17j]]",(0.0048893234296357975+1.8650489903193418e-17j)
[1.63752987 1.41429182],0.035970211029052734,"[[4.66657987e-01-1.30002849e-17j 1.16409435e-17+4.98887072e-01j]
 [1.16409435e-17-4.98887072e-01j 5.33342013e-01-2.04796661e-17j]]",(0.15834762735110458-0.4211365046936532j)
[1.95262905 2.53641807],0.03148770332336426,"[[3.13689083e-01-6.34030195e-18j 8.14083785e-19+4.63991640e-01j]
 [8.14083785e-19-4.63991640e-01j 6.86310917e-01+3.36586966e-18j]]",(0.26395730070641465-0.6812697443388692j)
