Powell,fun,time
[1.57079633 1.57078978],6.54649781227002e-06,0.08592486381530762
[1.57079633 1.57078978],6.54649781227002e-06,0.06225252151489258
[1.57079633 1.57078978],6.54649781227002e-06,0.07051849365234375
[1.57079633 1.57078978],6.54649781227002e-06,0.09543061256408691
[1.57079633 1.57078978],6.54649781227002e-06,0.04972362518310547
[1.57079633 1.57078978],6.54649781227002e-06,0.12600398063659668
[1.57079633 1.57078978],6.54649781227002e-06,0.10176539421081543
[1.57079633 1.57078978],6.54649781227002e-06,0.11706066131591797
[1.57079633 1.57078978],6.54649781227002e-06,0.0749516487121582
[1.57079633 1.57078978],6.54649781227002e-06,0.03974723815917969
