dual_annealing,fun,time
[1.30560725 4.77344222],0.34410668104811987,6.595262289047241
[1.64714954 2.88935614],0.684469236111666,5.700138092041016
[3.14159265 0.        ],0.4839567662019585,5.687665939331055
[2.43106417 4.76794945],0.06489594505754748,6.740718126296997
[3.14159265 1.28653383],0.582983528814775,8.475528001785278
[1.52441095 4.66470257],0.704241598767831,9.96034288406372
[2.80697717 5.4967802 ],0.0017333774911712785,9.793405294418335
[3.14159265 0.54674387],0.6206665748373148,6.2344982624053955
[1.44659454 5.95372771],0.6012809433826731,9.597326278686523
[1.0267387  2.74312588],0.16475188198669505,7.757704257965088
