Powell,fun,time
[0.76902273 5.48807811],0.1281477461302245,0.4072887897491455
[0.53472412 2.41919232],0.013779884129405506,0.22422575950622559
[1.46058909 4.71239284],0.9939503460757992,0.1279902458190918
[5.84322731e-05 4.71239284e+00],0.10282910816479827,0.12529516220092773
[0.78949316 3.14159264],1.2021237728301457,0.05837750434875488
[3.14159265 4.71239289],0.0041993600810599045,0.268552303314209
[2.12457034 3.06159249],0.1449992318375833,0.12319707870483398
[1.39852303 1.57079242],0.9852283157257804,0.08156657218933105
[0.54814719 2.80775291],0.015532299869432498,0.42195868492126465
[3.14159265 4.7123929 ],0.01987050611182138,0.23733043670654297
