Nelder-Mead,time,matrix,degree,Powell,time,matrix,degree,differential_evolution,time,matrix,degree,dual_annealing,time,matrix,degree,Density Matrix
[3.14159265 6.28318531],0.05533027648925781,"[[3.74939946e-33-9.62017444e-66j 3.00807789e-49+6.12323400e-17j]
 [3.00807789e-49-6.12323400e-17j 1.00000000e+00+0.00000000e+00j]]",(0.0018101165650320837+3.512911306770108e-18j),[3.14154666 4.71239284],0.12292695045471191,"[[ 5.28857511e-10+1.83559022e-26j -1.10431440e-22+2.29969022e-05j]
 [-1.10431440e-22-2.29969022e-05j  9.99999999e-01+2.56113006e-17j]]",(0.0018099697273321305+1.811138463143658e-17j),[3.14159264 2.58846983],0.4050140380859375,"[[8.00612872e-17+2.63319992e-34j 6.79085730e-26+8.94769731e-09j]
 [6.79085730e-26-8.94769731e-09j 1.00000000e+00+3.53560247e-18j]]",(0.0018101165650099122+2.5000484792932097e-18j),[3.14159264 2.73581626],0.46898770332336426,"[[ 6.47840235e-17+4.77111913e-34j -1.60602643e-27+8.04885231e-09j]
 [-1.60602643e-27-8.04885231e-09j  1.00000000e+00+3.86750601e-18j]]",(0.0018101165650142221+2.73473972749168e-18j),"  (0, 0)	(0.001279945697872309+0j)
  (1, 1)	(0.9987200543021276+0j)"
[3.14159265 6.28318531],0.051706790924072266,"[[3.74939946e-33-9.62017444e-66j 3.00807789e-49+6.12323400e-17j]
 [3.00807789e-49-6.12323400e-17j 1.00000000e+00+0.00000000e+00j]]",(0.46868887138723053+3.512911306770168e-18j),[1.91473819 4.71238898],0.09774279594421387,"[[ 3.31399648e-01+5.66062843e-18j -1.32381812e-17+4.70716392e-01j]
 [-1.32381812e-17-4.70716392e-01j  6.68600352e-01-1.61212931e-17j]]",(2.882306608578953e-17-0.4707163911399968j),[3.14159265 2.15288101],0.20584988594055176,"[[ 3.74939946e-33+1.51798518e-50j -2.57668620e-33+6.12323400e-17j]
 [-2.57668620e-33-6.12323400e-17j  1.00000000e+00+1.72167382e-17j]]",(0.46868887138723053+1.217407229800358e-17j),[3.14159265 4.17018169],0.11792564392089844,"[[ 3.74939946e-33+1.49754757e-49j -1.57479943e-33+6.12323400e-17j]
 [-1.57479943e-33-6.12323400e-17j  1.00000000e+00+9.27476332e-18j]]",(0.4686888713872306+6.558248036640024e-18j),"  (0, 0)	(0.33141307922458035+0j)
  (1, 1)	(0.6685869207754196+0j)"
[3.14159265 6.28318531],0.021941423416137695,"[[3.74939946e-33-9.62017444e-66j 3.00807789e-49+6.12323400e-17j]
 [3.00807789e-49-6.12323400e-17j 1.00000000e+00+0.00000000e+00j]]",(0.19137419486871918+0j),[3.14154666 4.71239284],0.08082032203674316,"[[5.28857510e-10-2.15296491e-27j 2.80328593e-22+2.29969022e-05j]
 [2.80328593e-22-2.29969022e-05j 9.99999999e-01+4.41563316e-18j]]",(0.19137419273906495+3.122324205915535e-18j),[3.14158575 3.27833019],0.26873326301574707,"[[1.19054881e-11+1.08739006e-29j 1.01458983e-23+3.45043302e-06j]
 [1.01458983e-23-3.45043302e-06j 1.00000000e+00+4.17408861e-18j]]",(0.19137419482077694+2.9515263654453118e-18j),[3.14159265 6.02995706],0.18924927711486816,"[[3.74939946e-33-3.00491108e-50j 6.98895154e-34+6.12323400e-17j]
 [6.98895154e-34-6.12323400e-17j 1.00000000e+00-1.03460589e-17j]]",(0.19137419486871918-7.315768435378021e-18j),"  (0, 0)	(0.13532199093578712+0j)
  (1, 1)	(0.8646780090642129+0j)"
[0.         6.28318531],0.03748035430908203,"[[1.+0.j 0.+0.j]
 [0.+0.j 0.+0.j]]",(0.03379093548662404-2.747987238483968e-18j),[3.10705387e-10 4.71239266e+00],0.12869477272033691,"[[ 1.00000000e+00+1.37342165e-17j -6.69428779e-27+1.55352693e-10j]
 [-6.69428779e-27-1.55352693e-10j  2.41344593e-20-1.63986500e-37j]]",(0.03379093548662404+5.207093394394746e-18j),[1.41881475e-06 4.70356806e+00],0.28568220138549805,"[[ 1.00000000e+00-7.12906362e-18j -1.26225126e-23+7.09407375e-07j]
 [-1.26225126e-23-7.09407375e-07j  5.03258823e-13-1.99669060e-29j]]",(0.033790935478465824-5.041009230279874e-18j),[0.         4.83588879],0.27452826499938965,"[[1.+1.92652516e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.03379093548662412+1.3622590049954482e-17j),"  (0, 0)	(0.9761062003747709+0j)
  (1, 1)	(0.023893799625229053+0j)"
[1.534423   6.28318531],0.03088212013244629,"[[ 5.18182655e-01+1.24205346e-33j -4.43481770e-33+4.99669282e-01j]
 [-4.43481770e-33-4.99669282e-01j  4.81817345e-01-5.64555426e-34j]]",(3.059591930809145e-17-0.4996692814514932j),[1.53442539 4.71239284],0.08120608329772949,"[[ 5.18181462e-01+4.48116922e-18j -8.78323551e-18+4.99669325e-01j]
 [-8.78323551e-18-4.99669325e-01j  4.81818538e-01+1.14252915e-17j]]",(3.0595921970739803e-17-0.4996693249358407j),[0.         0.43616775],0.39344048500061035,"[[1.+2.84703684e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.6814073483688385+2.013159054886179e-18j),[0.         2.00694054],0.06969118118286133,"[[1.-1.02130252e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.6814073483688385-7.221699397656248e-18j),"  (0, 0)	(0.5181722432180501+0j)
  (1, 1)	(0.48182775678194983+0j)"
[0.         6.28318531],0.04184389114379883,"[[1.+0.j 0.+0.j]
 [0.+0.j 0.+0.j]]",(0.04307213305721889-2.747987238483967e-18j),[3.10705387e-10 4.71239266e+00],0.1234736442565918,"[[ 1.00000000e+00+1.37342165e-17j -6.69428779e-27+1.55352693e-10j]
 [-6.69428779e-27-1.55352693e-10j  2.41344593e-20-1.63986500e-37j]]",(0.04307213305721881+1.4002579351886656e-17j),[0.        1.2319375],0.32985782623291016,"[[1.-1.46387759e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.04307213305721897-1.0351177687468255e-17j),[0.         4.74691073],0.2304537296295166,"[[1.+2.65413492e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.04307213305721897+1.8767567994451345e-17j),"  (0, 0)	(0.9695434026350712+0j)
  (1, 1)	(0.030456597364928808+0j)"
[1.17787042 6.28318531],0.023282289505004883,"[[ 6.91446493e-01+2.60841627e-33j -3.86816122e-33+4.61896352e-01j]
 [-3.86816122e-33-4.61896352e-01j  3.08553507e-01+2.32447784e-33j]]",(2.828299437469781e-17-0.4618963507582681j),[1.17792563 4.71239284],0.08580541610717773,"[[6.91420989e-01+9.14170838e-18j 2.50103119e-17+4.61906922e-01j]
 [2.50103119e-17-4.61906922e-01j 3.08579011e-01+6.72124419e-18j]]",(2.828364170484699e-17+0.461906922461875j),[0.         4.74905216],0.21060705184936523,"[[1.+1.87903731e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.43639862682486763+1.3286800253730437e-18j),[0.        5.8105421],0.1406266689300537,"[[1.-1.24140344e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.43639862682486763-8.778047906393452e-18j),"  (0, 0)	(0.6914195716716385+0j)
  (1, 1)	(0.30858042832836147+0j)"
[1.77059305 6.28318531],0.04439568519592285,"[[ 4.00764948e-01-6.27397921e-35j -7.47992398e-34+4.90053471e-01j]
 [-7.47992398e-34-4.90053471e-01j  5.99235052e-01+4.25939401e-33j]]",(3.000712073700341e-17-0.49005347105623487j),[1.77058423 4.71238898],0.0877995491027832,"[[ 4.00769270e-01-5.15471882e-18j -3.82057407e-17+4.90054346e-01j]
 [-3.82057407e-17-4.90054346e-01j  5.99230730e-01-2.48383673e-17j]]",(3.0007174315938184e-17-0.490054346066643j),[3.14159077 5.9629974 ],0.22494220733642578,"[[8.84326154e-13+2.05620626e-30j 7.02629699e-24+9.40386173e-07j]
 [7.02629699e-24-9.40386173e-07j 1.00000000e+00-9.47298151e-18j]]",(0.5667666448078058-6.698409462420627e-18j),[3.14150272 3.37752245],0.11116170883178711,"[[2.02208336e-09+2.51159415e-26j 2.03370475e-22+4.49675812e-05j]
 [2.03370475e-22-4.49675812e-05j 9.99999998e-01+6.52765839e-18j]]",(0.5667666401663024+4.615751525228827e-18j),"  (0, 0)	(0.4007645378953828+0j)
  (1, 1)	(0.5992354621046172+0j)"
[1.59432893 6.28318531],0.04110431671142578,"[[ 4.88234785e-01+2.71500162e-33j -1.79863490e-33+4.99861561e-01j]
 [-1.79863490e-33-4.99861561e-01j  5.11765215e-01+2.21751172e-33j]]",(3.0607692995220593e-17-0.4998615603540688j),[1.59433252 4.71239284],0.07583475112915039,"[[ 4.88232990e-01-1.30451735e-17j -5.77050209e-17+4.99861518e-01j]
 [-5.77050209e-17-4.99861518e-01j  5.11767010e-01-1.07824992e-17j]]",(3.060769041241494e-17-0.4998615181736514j),[3.14159265 0.73402409],0.21187949180603027,"[[ 3.74939946e-33+2.93880102e-50j -1.75957167e-33+6.12323400e-17j]
 [-1.75957167e-33-6.12323400e-17j  1.00000000e+00+1.59420949e-17j]]",(0.6904544602052369+1.1272763381218717e-17j),[3.13993349 4.40749797],0.031244277954101562,"[[6.88208132e-07-2.03247299e-23j 4.09465081e-20+8.29582822e-04j]
 [4.09465081e-20-8.29582822e-04j 9.99999312e-01-2.71179637e-17j]]",(0.6904529885581264-1.9175246299651374e-17j),"  (0, 0)	(0.4882250309116204+0j)
  (1, 1)	(0.5117749690883796+0j)"
[2.09479987 4.37010978],0.07831478118896484,"[[2.49824752e-01+1.82366625e-18j 6.78423479e-18+4.32911475e-01j]
 [6.78423479e-18-4.32911475e-01j 7.50175248e-01-2.12542536e-17j]]",(0.32231696141159344+0.5782102069029535j),[2.09479727 4.37011203],0.08911514282226562,"[[2.49825878e-01+4.78648198e-18j 7.37975483e-18+4.32912126e-01j]
 [7.37975483e-18-4.32912126e-01j 7.50174122e-01+4.01348602e-18j]]",(0.3223169613968871+0.5782108576105184j),[2.09477806 4.37011324],0.3996098041534424,"[[2.49834195e-01-5.66681920e-18j 3.86603204e-17+4.32916932e-01j]
 [3.86603204e-17-4.32916932e-01j 7.50165805e-01-1.54199372e-17j]]",(0.32231696134602367+0.578215663726768j),[2.18658871 4.28887449],0.20641160011291504,"[[2.11197230e-01-5.35783087e-19j 1.59457655e-17+4.08158009e-01j]
 [1.59457655e-17-4.08158009e-01j 7.88802770e-01+1.66339518e-17j]]",(0.323494190040038+0.5514426544737557j),"  (0, 0)	(0.2498341940721481+0j)
  (0, 1)	(-0.3223169613460236-0.14529873174069521j)
  (1, 0)	(-0.3223169613460236+0.14529873174069521j)
  (1, 1)	(0.7501658059278519+0j)"
