Nelder-Mead,fun,time,3
[1.50553054 3.45676392],1.1106866582037669,0.04678916931152344,(0.883194832145844+0.14180913027283118j)
[1.31533496 4.7520589 ],0.35343723827545565,0.044959306716918945,(1.1322705220820444-0.23116158849173368j)
[1.70286489 3.14160099],0.9913284963341836,0.033846378326416016,(0.5125098153412623+1.858615603820451e-06j)
[0.         4.90187665],0.13497789864287102,0.03175711631774902,(0.7452727883842719-0.980628257791803j)
[0.         4.88702248],0.48503350580906546,0.030114173889160156,(0.5971251005004777-0.9627087642083988j)
[1.26205501 3.14162583],0.9527649877611335,0.03174710273742676,(1.1163305375182018-1.1773319965725277e-05j)
[0.         4.88702248],0.36947233644421495,0.03111100196838379,(0.6495299662521878-0.972640769176713j)
[1.45195269 3.14161604],0.9929888445419397,0.03176307678222656,(0.8707673701091146-3.561803061389856e-06j)
[3.14159265 4.49710047],0.7327727549597228,0.03715062141418457,(0.4467736546235423+0.9183373052792535j)
[0.         4.88702248],0.3932690571251599,0.03139829635620117,(0.6386439406350439-0.9708726519876736j)
