Powell,fun,time
[2.35520875 5.01245608],0.13373543183832792,0.13107562065124512
[3.14159265 4.71169695],9.298978312267292e-06,0.4030435085296631
[2.39709653 2.78957311],0.09250222597100419,0.1377558708190918
[4.94468830e-11 4.71239245e+00],0.10138095699381872,0.20473980903625488
[1.32635171 1.57079242],0.9702783138548271,0.09670448303222656
[1.47806148 4.71239284],0.9957240525086559,0.039311885833740234
[1.89069544 4.71239289],0.949284076480659,0.05581545829772949
[1.86020612 1.57079242],0.9584226296432978,0.0872650146484375
[8.86274218e-14 4.71239287e+00],0.0272629950037199,0.1842515468597412
[0.84341902 1.4221267 ],0.08042283181827835,0.04797172546386719
