Nelder-Mead,time,matrix,degree
[1.96702838 0.1073967 ],0.06681990623474121,"[[ 3.07027462e-01+1.28688253e-18j -1.10216562e-18+4.61260880e-01j]
 [-1.10216562e-18-4.61260880e-01j  6.92972538e-01-7.38104539e-19j]]",(0.049447352726400176-0.12060046393409699j)
[2.38899995 4.19943843],0.15404272079467773,"[[ 1.35040436e-01+9.51179757e-19j -2.16125770e-17+3.41766758e-01j]
 [-2.16125770e-17-3.41766758e-01j  8.64959564e-01+8.53950996e-18j]]",(0.2983165410911098+0.4815570865795134j)
[1.81035624 4.71239291],0.014959573745727539,"[[3.81362434e-01-2.00044768e-18j 2.22066193e-17+4.85721245e-01j]
 [2.22066193e-17-4.85721245e-01j 6.18637566e-01-2.17044843e-17j]]",(2.9741848399229224e-17+0.485721245014263j)
[2.01368332 1.42940073],0.03291201591491699,"[[2.85725149e-01+1.01455664e-17j 1.67874187e-17+4.51759104e-01j]
 [1.67874187e-17-4.51759104e-01j 7.14274851e-01-7.05472770e-18j]]",(0.34408457966498046-0.38809056066586006j)
[3.14159265 4.71255679],0.0447542667388916,"[[ 2.31414707e-18-2.28768861e-35j -4.68232583e-26+1.52123209e-09j]
 [-4.68232583e-26-1.52123209e-09j  1.00000000e+00+8.39499456e-18j]]",(0.41069922705706535+5.936157583729604e-18j)
[4.59938044e-05 4.71239284e+00],0.029925823211669922,"[[9.99999999e-01-2.37681599e-17j 1.31157351e-21+2.29969022e-05j]
 [1.31157351e-21-2.29969022e-05j 5.28857511e-10+9.97294176e-27j]]",(0.028620191536675048-1.6806631427534652e-17j)
[3.14159265 4.71255679],0.05089688301086426,"[[ 2.31414707e-18-3.50876469e-35j -7.30459764e-26+1.52123209e-09j]
 [-7.30459764e-26-1.52123209e-09j  1.00000000e+00+2.26585231e-18j]]",(0.10936741004571242+1.6021995359789368e-18j)
[3.14159265 4.71255679],0.04315543174743652,"[[ 2.31414707e-18-3.50876469e-35j -7.30459764e-26+1.52123209e-09j]
 [-7.30459764e-26-1.52123209e-09j  1.00000000e+00+2.26585231e-18j]]",(0.11553860885106826+1.6021995359789366e-18j)
[0.77637641 3.52539405],0.10958266258239746,"[[ 8.56728632e-01-1.76080224e-18j -6.69929468e-18+3.50349373e-01j]
 [-6.69929468e-18-3.50349373e-01j  1.43271368e-01+7.34871326e-19j]]",(0.13699283936108234+0.6465960019511741j)
[3.14159265 4.71255679],0.050168752670288086,"[[2.31414707e-18+7.51573508e-35j 4.76932512e-26+1.52123209e-09j]
 [4.76932512e-26-1.52123209e-09j 1.00000000e+00-2.27198170e-17j]]",(0.4275155362396055-1.6065336660437596e-17j)
