differential_evolution,time,matrix,degree
[4.91163712e-06 4.75711525e+00],0.34505462646484375,"[[ 4.47113559e-02+9.98999947e-01j  2.45336261e-06-1.09802978e-07j]
 [ 2.45336261e-06-1.09802978e-07j -2.69656190e-13-6.02501343e-12j]]",(0.912378539677841-0.998486310776425j)
[0.59700472 1.68017352],0.34767889976501465,"[[-0.09971822-0.90805269j -0.27940424+0.0306829j ]
 [-0.27940424+0.0306829j   0.00944101+0.08597158j]]",(1.1639393750559432+0.7451881328755637j)
[3.14159265 3.52449554],0.206451416015625,"[[-3.47788288e-33+1.40083081e-33j  2.28773032e-17+5.67981378e-17j]
 [ 2.28773032e-17+5.67981378e-17j  9.27583983e-01-3.73614715e-01j]]",(0.5060596584691264-0.26892345811119805j)
[1.09495866 3.49987758],0.3481292724609375,"[[-0.68274719+0.25565199j  0.15585628+0.41623162j]
 [ 0.15585628+0.41623162j  0.25375243-0.09501659j]]",(1.2544157252030748-0.07956095351173169j)
[9.93455052e-07 1.73984304e-01],0.35026979446411133,"[[ 9.84902872e-01-1.73107865e-01j -8.59874416e-08-4.89228367e-07j]
 [-8.59874416e-08-4.89228367e-07j -2.43013197e-13+4.27123292e-14j]]",(0.06018075988408397-0.15973643924327594j)
[2.15346721 3.53523381],0.572528600692749,"[[-0.20767344+0.08625046j  0.16013286+0.38556715j]
 [ 0.16013286+0.38556715j  0.71584516-0.29730317j]]",(0.38703296951307137+0.5865766899651157j)
[0.        3.0253117],0.20553088188171387,"[[-0.99324698-0.11601909j  0.        +0.j        ]
 [ 0.        +0.j          0.        +0.j        ]]",(1.616836721258962+0.11174377600042704j)
[2.09377188 4.58134426],0.5399770736694336,"[[-0.03270276+0.24812408j  0.4294544 +0.05660211j]
 [ 0.4294544 +0.05660211j  0.09796721-0.74330184j]]",(1.1340948474295627+0.4429680037611026j)
[3.14159265 3.24623586],0.42214441299438477,"[[-3.72888984e-33+3.91633519e-34j  6.39586073e-18+6.08973926e-17j]
 [ 6.39586073e-18+6.08973926e-17j  9.94529894e-01-1.04452333e-01j]]",(0.608946915445303-0.07392860619209535j)
[2.05568402 5.88491696],0.4437520503997803,"[[ 0.24605273+0.10352755j  0.17155871-0.40774159j]
 [ 0.17155871-0.40774159j -0.67568122-0.28429525j]]",(1.2708489964483407+0.09327910680497152j)
