Powell,time,matrix,degree
[1.58299455 4.70555593],0.026993989944458008,"[[4.93901041e-01+8.41658007e-18j 2.88969510e-17+4.99962801e-01j]
 [2.88969510e-17-4.99962801e-01j 5.06098959e-01+2.27046648e-17j]]",(0.07751905736890381+0.5033719279453605j)
[2.04863108 2.74802467],0.043459177017211914,"[[ 2.70071236e-01+1.96651318e-18j -8.76335671e-18+4.43996355e-01j]
 [-8.76335671e-18-4.43996355e-01j  7.29928764e-01-9.32890250e-18j]]",(0.1702577012495245-0.7525505190058623j)
[1.40197970e-09 4.71239282e+00],0.0678565502166748,"[[1.00000000e+00+2.04525485e-17j 3.75456571e-26+7.00989849e-10j]
 [3.75456571e-26-7.00989849e-10j 4.91386768e-19+1.45958559e-36j]]",(0.03350133842743353+1.4462135747164343e-17j)
[1.32082806 1.57079242],0.029920339584350586,"[[6.23686608e-01-9.51619614e-18j 1.89617429e-17+4.84460136e-01j]
 [1.89617429e-17-4.84460136e-01j 3.76313392e-01+2.46432795e-18j]]",(2.9664627719272384e-17+0.4844601356068714j)
[1.50328108 1.50756647],0.02991175651550293,"[[5.33731985e-01+1.51683977e-17j 2.70900887e-17+4.98860856e-01j]
 [2.70900887e-17-4.98860856e-01j 4.66268015e-01+1.19434356e-17j]]",(0.17455208474407524-0.4673358025398146j)
[1.71566778 1.28420612],0.034906864166259766,"[[ 4.27817386e-01+1.22118499e-17j -6.23387992e-18+4.94762236e-01j]
 [-6.23387992e-18-4.94762236e-01j  5.72182614e-01-2.06722199e-17j]]",(0.20544569086308298-0.35491103353597536j)
[1.40197969e-09 4.71239278e+00],0.07765579223632812,"[[ 1.00000000e+00-5.47978349e-18j -2.39202329e-26+7.00989843e-10j]
 [-2.39202329e-26-7.00989843e-10j  4.91386759e-19-2.10272389e-35j]]",(0.0540848713862868-3.874792061836564e-18j)
[8.05346124e-10 4.71258423e+00],0.04783487319946289,"[[1.00000000e+00-4.14761916e-19j 1.83519484e-26+4.02673062e-10j]
 [1.83519484e-26-4.02673062e-10j 1.62145595e-19-3.67621491e-36j]]",(0.25729608094992445-2.9328096359891823e-19j)
[1.38948234 0.3933667 ],0.036865234375,"[[ 5.90161087e-01-6.76513058e-18j -1.00163669e-17+4.91803801e-01j]
 [-1.00163669e-17-4.91803801e-01j  4.09838913e-01-4.70744224e-18j]]",(0.18850216253926377-0.29592267476103784j)
[1.94478942 2.97158421],0.03689861297607422,"[[3.17332297e-01-5.49959901e-19j 9.49346487e-19+4.65437977e-01j]
 [9.49346487e-19-4.65437977e-01j 6.82667703e-01-2.23527008e-18j]]",(0.07873931135028475-0.796698159524192j)
