Powell,fun,time
[1.92734108 1.83668497],0.2766830801033124,0.08188986778259277
[1.57278242 1.50918684],0.9859716605203247,0.1133275032043457
[4.59938044e-05 4.71239284e+00],0.006725366987483183,0.11567044258117676
[3.14159265 4.71239286],0.03700914164235404,0.3017089366912842
[1.69649658 6.1667427 ],0.5315540632195269,0.04402422904968262
[3.52633308e-05 4.71239284e+00],0.23028840791758806,0.03767037391662598
[1.56796522 1.63905304],0.965684714533912,0.06988263130187988
[1.80799532 0.47412187],0.46156802654049106,0.11577582359313965
[5.01602296e-05 4.71239284e+00],0.4457435060065335,0.11104202270507812
[4.59938044e-05 4.71239284e+00],0.008917069200187332,0.051999807357788086
