dual_annealing,time,matrix,degree
[1.22111404 4.4755637 ],1.7699804306030273,"[[ 6.71299668e-01-5.30917788e-18j -1.42411572e-17+4.69740805e-01j]
 [-1.42411572e-17-4.69740805e-01j  3.28700332e-01+8.35091587e-18j]]",(0.3169643951119892+0.5799500915098179j)
[0.90009769 6.15409792],2.0257959365844727,"[[8.10766721e-01-7.90134004e-19j 3.70794137e-18+3.91693816e-01j]
 [3.70794137e-18-3.91693816e-01j 1.89233279e-01-3.61615965e-19j]]",(0.05042290721039709+0.05247067047357736j)
[0.96884912 1.17635262],1.9244639873504639,"[[ 7.83124251e-01+3.57457389e-18j -3.28629269e-17+4.12117287e-01j]
 [-3.28629269e-17-4.12117287e-01j  2.16875749e-01+6.28575017e-19j]]",(0.31260701561102583-0.2537428091640105j)
[0.         5.18950428],2.0397539138793945,"[[1.+1.24693375e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.3828307428581293+8.817153071572188e-18j)
[1.98171921 1.62652376],1.9252681732177734,"[[3.00272225e-01+1.05828843e-17j 4.81977187e-17+4.58376282e-01j]
 [4.81977187e-17-4.58376282e-01j 6.99727775e-01+1.13370062e-17j]]",(0.3453890267112646-0.48390718494050433j)
[1.6389842 1.3765576],1.9678497314453125,"[[4.65932476e-01+1.33724197e-17j 4.02868139e-17+4.98838054e-01j]
 [4.02868139e-17-4.98838054e-01j 5.34067524e-01+1.46592785e-17j]]",(0.14991807454321432-0.40255251648465745j)
[1.84377704 3.19545436],1.9204297065734863,"[[3.65198514e-01+1.04705057e-20j 2.99979879e-18+4.81485783e-01j]
 [2.99979879e-18-4.81485783e-01j 6.34801486e-01-6.97794987e-19j]]",(0.025921109303664747+0.7941944406550449j)
[1.40064414 1.37629432],2.0113186836242676,"[[ 5.84666172e-01+8.86039618e-18j -7.83303733e-18+4.92779504e-01j]
 [-7.83303733e-18-4.92779504e-01j  4.15333828e-01-4.30624687e-18j]]",(0.24750382227479903-0.3975360900027301j)
[3.14159265 1.67417966],1.8291120529174805,"[[ 3.74939946e-33+1.64527308e-50j -2.81481426e-33+6.12323400e-17j]
 [-2.81481426e-33-6.12323400e-17j  1.00000000e+00-1.52857863e-17j]]",(0.6553375811795532-1.080868314234715e-17j)
[1.53269799 4.896848  ],1.9198682308197021,"[[5.19044559e-01+2.07794381e-17j 5.95189033e-18+4.99637173e-01j]
 [5.95189033e-18-4.99637173e-01j 4.80955441e-01+1.42596933e-18j]]",(0.09960467859005678+0.40799631280132365j)
