Nelder-Mead,time,matrix,degree,Powell,time,matrix,degree,differential_evolution,time,matrix,degree,dual_annealing,time,matrix,degree,Density Matrix
[1.56905201 4.65991256],0.04252505302429199,"[[5.00872158e-01+2.39761780e-17j 4.90823731e-17+4.99999239e-01j]
 [4.90823731e-17-4.99999239e-01j 4.99127842e-01-1.21867548e-17j]]",(0.013795645202332039+0.5262184891310603j),[1.54113138 3.62595241],0.06464934349060059,"[[ 5.14830300e-01+1.55054156e-18j -3.03900544e-18+4.99780014e-01j]
 [-3.03900544e-18-4.99780014e-01j  4.85169700e-01-2.62917424e-18j]]",(0.013805353443431985+0.5256293688488658j),[1.5690377  4.65992634],0.1602013111114502,"[[5.00879315e-01+2.65566925e-17j 3.94682501e-17+4.99999227e-01j]
 [3.94682501e-17-4.99999227e-01j 4.99120685e-01-2.75477777e-19j]]",(0.013795645199781674+0.5262184766926994j),[1.54112568 3.62595235],0.13033604621887207,"[[5.14833148e-01+3.98867205e-18j 8.04923476e-18+4.99779929e-01j]
 [8.04923476e-18-4.99779929e-01j 4.85166852e-01+1.74727842e-18j]]",(0.013805357415025338+0.5256291331710574j),"  (0, 0)	(0.5008793152819324+0j)
  (0, 1)	(-0.013795645199781614-0.02621924988866238j)
  (1, 0)	(-0.013795645199781614+0.02621924988866238j)
  (1, 1)	(0.4991206847180675+0j)"
[3.14159265 4.71250265],0.04673314094543457,"[[1.21807055e-18-5.32089191e-36j 3.87176819e-27+1.10366233e-09j]
 [3.87176819e-27-1.10366233e-09j 1.00000000e+00-2.35222021e-17j]]",(0.11090528951682133-1.6632708584889663e-17j),[3.14159265 4.12456408],0.05230593681335449,"[[ 8.89584981e-18-9.31675232e-36j -1.03096901e-25+2.98259112e-09j]
 [-1.03096901e-25-2.98259112e-09j  1.00000000e+00+1.72644784e-17j]]",(0.11090528951682124+1.2207829770517409e-17j),[3.14159265 5.33952195],0.1077871322631836,"[[ 8.02458275e-32-1.29992832e-48j -8.39446206e-33+2.83276945e-16j]
 [-8.39446206e-33-2.83276945e-16j  1.00000000e+00+2.69018080e-17j]]",(0.11090528951682124+1.9022450846650462e-17j),[3.14159265 5.30306816],0.2575685977935791,"[[3.98693672e-18+7.44127322e-37j 4.78155996e-26+1.99673151e-09j]
 [4.78155996e-26-1.99673151e-09j 1.00000000e+00-5.73879715e-18j]]",(0.11090528951682124-4.057942380818905e-18j),"  (0, 0)	(0.07842188228680169+0j)
  (1, 1)	(0.9215781177131983+0j)"
[1.62467123 5.00888298],0.03274035453796387,"[[ 4.73075579e-01-9.83255752e-18j -6.94029493e-18+4.99274549e-01j]
 [-6.94029493e-18-4.99274549e-01j  5.26924421e-01+1.32413238e-17j]]",(0.06478780351316649+0.3534056878745724j),[1.73792657 5.86521148],0.1000814437866211,"[[ 4.16823366e-01+4.29871839e-18j -1.26833425e-17+4.93033110e-01j]
 [-1.26833425e-17-4.93033110e-01j  5.83176634e-01-5.59302626e-19j]]",(0.06649364504183373+0.338258026154223j),[1.6246726 5.0088753],0.18076801300048828,"[[4.73074893e-01+4.50671133e-18j 7.66844642e-18+4.99274512e-01j]
 [7.66844642e-18-4.99274512e-01j 5.26925107e-01+8.51504410e-18j]]",(0.06478780351292998+0.35340565085892944j),[1.73791657 5.86520603],0.2079625129699707,"[[4.16828297e-01-6.37985911e-18j 3.72428875e-18+4.93033942e-01j]
 [3.72428875e-18-4.93033942e-01j 5.83171703e-01+6.37944624e-18j]]",(0.06649332649856063+0.3382604570797313j),"  (0, 0)	(0.4730748930105616+0j)
  (0, 1)	(-0.06478780351292998+0.1458688614222476j)
  (1, 0)	(-0.06478780351292998-0.1458688614222476j)
  (1, 1)	(0.5269251069894383+0j)"
[3.14159265 4.71239277],0.06855440139770508,"[[ 1.21801369e-18-2.19051365e-35j -1.57719265e-26+1.10363658e-09j]
 [-1.57719265e-26-1.10363658e-09j  1.00000000e+00+9.93807244e-18j]]",(0.015837988322595548+7.027278414685655e-18j),[3.14159265 4.12456414],0.05147194862365723,"[[4.93459311e-19+7.58177021e-36j 2.29067282e-26+7.02466591e-10j]
 [2.29067282e-26-7.02466591e-10j 1.00000000e+00+2.37186990e-17j]]",(0.015837988322595576+1.6771652902600208e-17j),[3.14159265 4.45091438],0.18520665168762207,"[[ 8.02458275e-32+2.42503772e-48j -1.99311829e-32+2.83276945e-16j]
 [-1.99311829e-32-2.83276945e-16j  1.00000000e+00-3.84186092e-18j]]",(0.01583798832259559-2.716605911658252e-18j),[3.14159265 4.92060009],0.10557341575622559,"[[3.80326123e-18+1.80375252e-34j 3.62199507e-26+1.95019518e-09j]
 [3.62199507e-26-1.95019518e-09j 1.00000000e+00+2.13723023e-17j]]",(0.015837988322595392+1.511249989217377e-17j),"  (0, 0)	(0.011199148943260706+0j)
  (1, 1)	(0.9888008510567393+0j)"
[1.89079971 2.77272684],0.03719496726989746,"[[ 3.42715116e-01-1.27690264e-18j -1.29108297e-17+4.74617178e-01j]
 [-1.29108297e-17-4.74617178e-01j  6.57284884e-01-1.88692438e-19j]]",(0.17111151971709423-0.7548415721369506j),[2.0175125  2.59340167],0.07627487182617188,"[[2.83996859e-01-3.02059778e-19j 1.37391062e-17+4.50935298e-01j]
 [1.37391062e-17-4.50935298e-01j 7.16003141e-01-3.56486839e-18j]]",(0.17216708898354993-0.7266768978188309j),[1.89078294 2.77276375],0.4715137481689453,"[[ 3.42723073e-01+6.54494087e-19j -4.81365420e-18+4.74619814e-01j]
 [-4.81365420e-18-4.74619814e-01j  6.57276927e-01+6.21295934e-18j]]",(0.17111151969901078-0.7548442089794949j),[2.0175125  2.59339856],0.1091313362121582,"[[ 2.83996858e-01-6.24583170e-19j -1.22652585e-17+4.50935298e-01j]
 [-1.22652585e-17-4.50935298e-01j  7.16003142e-01-1.31420940e-17j]]",(0.17216708899194821-0.7266768976769941j),"  (0, 0)	(0.34272307290826687+0j)
  (0, 1)	(0.1711115196990107-0.2802243945968865j)
  (1, 0)	(0.1711115196990107+0.2802243945968865j)
  (1, 1)	(0.6572769270917331+0j)"
[1.64940007 4.71239284],0.028217792510986328,"[[4.60738586e-01-8.19266784e-18j 3.55830800e-17+4.98456158e-01j]
 [3.55830800e-17-4.98456158e-01j 5.39261414e-01+2.50524795e-17j]]",(3.0521636909292235e-17+0.4984561578169736j),[3.14159256 4.97693013],0.05068516731262207,"[[2.15385975e-15+7.01494622e-32j 2.90884255e-24+4.64096946e-08j]
 [2.90884255e-24-4.64096946e-08j 1.00000000e+00+1.90317240e-18j]]",(0.6515746274543178+1.3457461075454777e-18j),[1.64941161 4.71238898],0.11412477493286133,"[[4.60732838e-01+7.24643463e-18j 1.40645863e-17+4.98455705e-01j]
 [1.40645863e-17-4.98455705e-01j 5.39267162e-01+8.37748046e-18j]]",(3.0521609188630084e-17+0.498455705104205j),[3.14159256 4.92059934],0.08221173286437988,"[[ 1.97828887e-15+4.71219345e-32j -2.08185584e-24+4.44779594e-08j]
 [-2.08185584e-24-4.44779594e-08j  1.00000000e+00-2.66056843e-17j]]",(0.6515746274543183-1.881305980023665e-17j),"  (0, 0)	(0.4607328375220499+0j)
  (1, 1)	(0.53926716247795+0j)"
[6.47510882e-05 4.71239284e+00],0.03332018852233887,"[[9.99999999e-01-8.39025067e-18j 5.20649370e-22+3.23755441e-05j]
 [5.20649370e-22-3.23755441e-05j 1.04817586e-09-5.61031641e-27j]]",(0.06544546596760392-5.932803611416068e-18j),[4.69220772e-09 2.59368359e+00],0.09473609924316406,"[[ 1.00000000e+00+4.66882800e-18j -9.13527825e-26+2.34610386e-09j]
 [-9.13527825e-26-2.34610386e-09j  5.50420332e-18-2.48951667e-35j]]",(0.0654454754579574+3.3013599411759657e-18j),[9.39219667e-18 5.25827865e+00],0.30631113052368164,"[[1.00000000e+00-1.45725184e-17j 5.81854830e-35+4.69609833e-18j]
 [5.81854830e-35-4.69609833e-18j 2.20533396e-35-6.51213610e-52j]]",(0.06544547545795745-1.0304326550184716e-17j),[1.93273886e-09 5.18523718e+00],0.17455363273620605,"[[ 1.00000000e+00+3.26505268e-18j -1.43140627e-26+9.66369428e-10j]
 [-1.43140627e-26-9.66369428e-10j  9.33869871e-19-4.81547065e-36j]]",(0.06544547545795742+2.308740888767778e-18j),"  (0, 0)	(0.9537230605057004+0j)
  (1, 1)	(0.0462769394942995+0j)"
[0.20836163 4.47983038],0.07248139381408691,"[[ 9.89185568e-01-1.46967885e-17j -3.65141044e-18+1.03428622e-01j]
 [-3.65141044e-18-1.03428622e-01j  1.08144318e-02+2.10089467e-19j]]",(0.10063383039660857+0.1272641972894887j),[0.20839211 4.47982773],0.0695641040802002,"[[ 9.89182415e-01+1.89018637e-17j -1.86082706e-18+1.03443533e-01j]
 [-1.86082706e-18-1.03443533e-01j  1.08175847e-02-4.03579617e-19j]]",(0.1006338275345668+0.12727911213842047j),[0.20834003 4.47981953],0.8444843292236328,"[[ 9.89187802e-01-1.96132491e-17j -8.03576062e-18+1.03418058e-01j]
 [-8.03576062e-18-1.03418058e-01j  1.08121983e-02-3.64408256e-20j]]",(0.10063383247046608+0.12725363075349916j),[0.20839061 4.47981953],0.18993496894836426,"[[9.89182571e-01-1.34273285e-17j 6.03887312e-18+1.03442797e-01j]
 [6.03887312e-18-1.03442797e-01j 1.08174289e-02+1.49276719e-19j]]",(0.10063382767415004+0.12727837538834824j),"  (0, 0)	(0.9890655823039363+0j)
  (0, 1)	(-0.100633775358506-0.023835644997642902j)
  (1, 0)	(-0.100633775358506+0.023835644997642902j)
  (1, 1)	(0.0109344176960639+0j)"
[1.62799411 6.25721587],0.03222250938415527,"[[ 4.7141670e-01+1.47547096e-19j -1.3644131e-18+4.99182326e-01j]
 [-1.3644131e-18-4.99182326e-01j  5.2858330e-01+1.88073339e-19j]]",(0.012965602050684706+0.33554010915130633j),[1.74317561 6.20411895],0.12700247764587402,"[[4.14236571e-01+5.69774057e-19j 2.83757234e-18+4.92589722e-01j]
 [2.83757234e-18-4.92589722e-01j 5.85763429e-01+5.18240871e-19j]]",(0.013375402377245897+0.3188690943839023j),[1.62798866 6.25720871],0.20766425132751465,"[[ 4.71419419e-01-2.40970894e-19j -1.04557564e-18+4.99182482e-01j]
 [-1.04557564e-18-4.99182482e-01j  5.28580581e-01-4.04713682e-19j]]",(0.01296560204983464+0.33554026485431176j),[1.74317562 6.20411908],0.25524020195007324,"[[4.14236570e-01+5.20684017e-19j 3.35512881e-18+4.92589722e-01j]
 [3.35512881e-18-4.92589722e-01j 5.85763430e-01-1.11428067e-18j]]",(0.013375402390182528+0.31886909393437723j),"  (0, 0)	(0.47141941866036+0j)
  (0, 1)	(-0.012965602049834617+0.16364221718035282j)
  (1, 0)	(-0.012965602049834617-0.16364221718035282j)
  (1, 1)	(0.52858058133964+0j)"
[1.82264791 3.25404374],0.027011871337890625,"[[ 3.75401222e-01-6.72144586e-19j -4.00918661e-18+4.84226336e-01j]
 [-4.00918661e-18-4.84226336e-01j  6.24598778e-01-3.58452416e-19j]]",(0.05434212986995263+0.7852030000644749j),[1.95761031 3.32020603],0.03352618217468262,"[[3.11380142e-01+7.19020937e-19j 2.32773385e-18+4.63057825e-01j]
 [2.32773385e-18-4.63057825e-01j 6.88619858e-01-1.54504145e-18j]]",(0.05472597986536427+0.7586755233429252j),[1.82261066 3.25405313],0.17168378829956055,"[[3.75419258e-01+1.56537583e-18j 2.01626842e-18+4.84230977e-01j]
 [2.01626842e-18-4.84230977e-01j 6.24580742e-01-3.25229031e-18j]]",(0.05434212984141851+0.7852076409856478j),[1.95761031 3.32022083],0.14917254447937012,"[[ 3.11380141e-01+7.60244176e-19j -1.94991680e-18+4.63057825e-01j]
 [-1.94991680e-18-4.63057825e-01j  6.88619859e-01+1.78210853e-18j]]",(0.05472597986933565+0.7586755231596309j),"  (0, 0)	(0.3754192576534176+0j)
  (0, 1)	(-0.05434212984141847-0.30097666445030197j)
  (1, 0)	(-0.05434212984141847+0.30097666445030197j)
  (1, 1)	(0.6245807423465822+0j)"
