Nelder-Mead,fun,time,3
[0.         3.38976026],0.9999327896327681,0.023203372955322266,(1.6928597625289072-0.21320454634763167j)
[0.         3.38976026],0.9999327896327681,0.022030353546142578,(1.6928597625289072-0.21320454634763167j)
[0.         3.38976026],0.9999327896327681,0.023313045501708984,(1.6928597625289072-0.21320454634763167j)
[0.         3.38976026],0.9999327896327681,0.020273685455322266,(1.6928597625289072-0.21320454634763167j)
[0.         3.38976026],0.9999327896327681,0.021971464157104492,(1.6928597625289072-0.21320454634763167j)
[0.         3.38976026],0.9999327896327681,0.022081375122070312,(1.6928597625289072-0.21320454634763167j)
[0.         3.38976026],0.9999327896327681,0.022046566009521484,(1.6928597625289072-0.21320454634763167j)
[0.         3.38976026],0.9999327896327681,0.024973392486572266,(1.6928597625289072-0.21320454634763167j)
[0.         3.38976026],0.9999327896327681,0.024792909622192383,(1.6928597625289072-0.21320454634763167j)
[0.         3.38976026],0.9999327896327681,0.023576021194458008,(1.6928597625289072-0.21320454634763167j)
