differential_evolution,time,matrix,degree
[1.58298688 4.70557016],0.38031816482543945,"[[4.93904875e-01-5.18663404e-18j 2.00254948e-17+4.99962848e-01j]
 [2.00254948e-17-4.99962848e-01j 5.06095125e-01-2.25246536e-17j]]",(0.07751905736451607+0.5033719747319487j)
[2.04860489 2.74805153],0.3558511734008789,"[[ 2.70082862e-01+1.04557957e-20j -5.34307720e-19+4.44002376e-01j]
 [-5.34307720e-19-4.44002376e-01j  7.29917138e-01-1.81855888e-18j]]",(0.17025770121083375-0.7525565398129097j)
[1.06261656e-06 3.23509046e+00],0.3145487308502197,"[[ 1.00000000e+00+2.30738388e-18j -6.65731677e-25+5.31308278e-07j]
 [-6.65731677e-25-5.31308278e-07j  2.82288486e-13-1.14086724e-31j]]",(0.033501338422821283+1.6315667860574134e-18j)
[9.59941621e-06 5.35041561e+00],0.20493555068969727,"[[1.00000000e+00+2.60621180e-17j 1.71308187e-23+4.79970810e-06j]
 [1.71308187e-23-4.79970810e-06j 2.30371979e-11+4.36630452e-28j]]",(0.5321952477131111+1.8428700339170615e-17j)
[1.50326725 1.50756005],0.3440089225769043,"[[5.33738885e-01+9.09030769e-18j 5.45109806e-18+4.98860389e-01j]
 [5.45109806e-18-4.98860389e-01j 4.66261115e-01+2.79181763e-18j]]",(0.17455208471069084-0.46733533602290034j)
[1.7156801 1.284226 ],0.3844764232635498,"[[ 4.27811290e-01+1.20906481e-18j -1.57646801e-17+4.94761347e-01j]
 [-1.57646801e-17-4.94761347e-01j  5.72188710e-01+9.51473217e-18j]]",(0.2054456908176686-0.3549101441184958j)
[3.79790000e-06 4.12261184e+00],0.3420846462249756,"[[ 1.0000000e+00-1.25674814e-17j -1.4609901e-22+1.89895000e-06j]
 [-1.4609901e-22-1.89895000e-06j  3.6060111e-12+6.98595310e-29j]]",(0.054084871347850706-8.886551360389586e-18j)
[0.        3.5854426],0.26099276542663574,"[[1.-1.09218743e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.25729608094992445-7.722931355719635e-18j)
[1.38948413 0.39335268],0.2893798351287842,"[[5.90160209e-01+5.67860103e-18j 2.71186041e-17+4.91803962e-01j]
 [2.71186041e-17-4.91803962e-01j 4.09839791e-01+2.19436402e-18j]]",(0.18850216253807572-0.295922835743986j)
[1.94479313 2.97160238],0.37400174140930176,"[[3.17330569e-01+1.55136714e-18j 5.53058226e-18+4.65437299e-01j]
 [5.53058226e-18-4.65437299e-01j 6.82669431e-01-2.31861805e-18j]]",(0.07873931134991964-0.7966974813453389j)
