Nelder-Mead,fun,time,Powell,fun,time,SLSQP,fun,time,Density Matrix
[1.56301351 3.24284487],0.9225246151334043,0.17298340797424316,[1.56303834 4.64000711],0.8963148288815608,0.07458257675170898,[0.12271613 4.0848289 ],0.9871372502560041,0.826890230178833,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.50389209+0.j        -0.05053695-0.0361637j]
 [-0.05053695+0.0361637j  0.49610791+0.j       ]]"
[3.14159265 3.11288195],0.0737379866604242,0.07527661323547363,[3.14159265 4.71239282],0.07373798666048227,0.3558354377746582,[3.14158369 4.28736138],0.07374985383093713,0.7491719722747803,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.03686899 0.        ]
 [0.         0.96313101]]"
[1.51909912 3.14156903],0.9987327359694985,0.1074824333190918,[1.51913992 4.71239284],0.9986743651214477,0.05285811424255371,[0.         3.13461016],0.9483709666884281,0.3996713161468506,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.52581452 0.        ]
 [0.         0.47418548]]"
[2.40189309 2.2934731 ],0.0875882202769957,0.17047357559204102,[2.27995282 2.19872167],0.10869522251402786,0.061864376068115234,[2.40193601 2.29351112],0.08757467112168443,1.1489267349243164,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.17443731+0.j         0.2527672 -0.22291097j]
 [0.2527672 +0.22291097j 0.82556269+0.j        ]]"
[1.56660502 3.11036897],0.9134022900234526,0.07143950462341309,[1.5665879 1.6570638],0.9651140556975828,0.09575152397155762,[0.09240046 2.79693106],0.9921913308175734,0.9461019039154053,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.50210815+0.j         0.01558785-0.04308458j]
 [0.01558785+0.04308458j 0.49789185+0.j        ]]"
[1.79096414 3.14156375],0.9759028461160753,0.0679931640625,[1.79096292 4.71239284],0.9758774840075093,0.07056474685668945,[3.14159265 1.86962334],0.781620437641014,0.5474269390106201,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.39081022 0.        ]
 [0.         0.60918978]]"
[2.41720502 3.78629156],0.07444315986707079,0.12164545059204102,[2.41724561 3.78635264],0.07443193869457754,0.13269710540771484,[2.41696955 3.78609497],0.07450453872336005,0.5642316341400146,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.16274369+0.j         -0.19912135-0.26480816j]
 [-0.19912135+0.26480816j  0.83725631+0.j        ]]"
[1.2481421  3.09934757],1.6044618964390207,0.04042530059814453,[1.24808913 0.04224832],0.29068262072745904,0.04871368408203125,[1.24776516 0.04202809],0.2910973756295274,0.940549373626709,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.65855402+0.j         0.02002489+0.32844219j]
 [0.02002489-0.32844219j 0.34144598+0.j        ]]"
[2.49917409 2.62807014],0.035097379680051555,0.08254218101501465,[2.4992426  2.62800986],0.035077412500225724,0.5456075668334961,[2.4991357  2.62810828],0.03510756939286197,0.5179924964904785,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.11718838+0.j         0.14715933-0.26089515j]
 [0.14715933+0.26089515j 0.88281162+0.j        ]]"
[0.         5.68899256],0.043065804547087305,0.03202700614929199,[2.96255938e-14 4.71239284e+00],0.043065804547117045,0.22786688804626465,[4.30325989e-06 4.38479114e+00],0.043071263599820254,0.585350513458252,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.9784671 0.       ]
 [0.        0.0215329]]"
