Powell,fun,time
[1.57079633 1.57078978],6.54649781227002e-06,0.11278390884399414
[1.57079633 1.57078978],6.54649781227002e-06,0.08983635902404785
[1.57079633 1.57078978],6.54649781227002e-06,0.03951740264892578
[1.57079633 1.57078978],6.54649781227002e-06,0.10439658164978027
[1.57079633 1.57078978],6.54649781227002e-06,0.05369091033935547
[1.57079633 1.57078978],6.54649781227002e-06,0.05569195747375488
[1.57079633 1.57078978],6.54649781227002e-06,0.04967522621154785
[1.57079633 1.57078978],6.54649781227002e-06,0.03182196617126465
[1.57079633 1.57078978],6.54649781227002e-06,0.054145097732543945
[1.57079633 1.57078978],6.54649781227002e-06,0.06062674522399902
