SLSQP,fun,time
[0.12271613 4.0848289 ],0.9871372502560041,0.826890230178833
[3.14158369 4.28736138],0.07374985383093713,0.7491719722747803
[0.         3.13461016],0.9483709666884281,0.3996713161468506
[2.40193601 2.29351112],0.08757467112168443,1.1489267349243164
[0.09240046 2.79693106],0.9921913308175734,0.9461019039154053
[3.14159265 1.86962334],0.781620437641014,0.5474269390106201
[2.41696955 3.78609497],0.07450453872336005,0.5642316341400146
[1.24776516 0.04202809],0.2910973756295274,0.940549373626709
[2.4991357  2.62810828],0.03510756939286197,0.5179924964904785
[4.30325989e-06 4.38479114e+00],0.043071263599820254,0.585350513458252
