Powell,time,matrix,degree
[0.56777843 5.3964752 ],0.06690025329589844,"[[9.21548863e-01+2.68757965e-17j 3.85884242e-18+2.68880188e-01j]
 [3.85884242e-18-2.68880188e-01j 7.84511365e-02+3.92641141e-19j]]",(0.30894619096414944+0.09159603290971473j)
[1.35947305 1.43525581],0.03006267547607422,"[[ 6.04876963e-01+9.20134855e-18j -2.47495718e-17+4.88877104e-01j]
 [-2.47495718e-17-4.88877104e-01j  3.95123037e-01+5.26111902e-18j]]",(0.28020430779748806-0.4228092834076073j)
[1.60411818 4.52304584],0.03151130676269531,"[[4.83342159e-01+8.27436643e-18j 3.07311160e-17+4.99722439e-01j]
 [3.07311160e-17-4.99722439e-01j 5.16657841e-01-1.59868997e-17j]]",(0.08512144408061971+0.5937794793402373j)
[3.14154666 4.71239284],0.03162717819213867,"[[ 5.28857511e-10+2.26763926e-26j -9.17183428e-22+2.29969022e-05j]
 [-9.17183428e-22-2.29969022e-05j  9.99999999e-01+8.70666208e-19j]]",(0.0003071375415874878+6.173086345137923e-19j)
[1.92822602 4.71238898],0.04923415184020996,"[[3.25066235e-01-1.16535394e-18j 1.98744078e-17+4.68399592e-01j]
 [1.98744078e-17-4.68399592e-01j 6.74933765e-01+1.32731310e-17j]]",(2.8681203046557475e-17+0.46839959189092634j)
[1.49842211 1.3391564 ],0.04222464561462402,"[[ 5.36155524e-01+1.65987866e-17j -9.51123548e-18+4.98691065e-01j]
 [-9.51123548e-18-4.98691065e-01j  4.63844476e-01+1.35860005e-20j]]",(0.14295354491563572-0.38421240098135157j)
[3.14153791 4.71239284],0.03491330146789551,"[[7.49235759e-10+5.00448136e-27j 2.08786264e-22+2.73721712e-05j]
 [2.08786264e-22-2.73721712e-05j 9.99999999e-01-8.91324583e-18j]]",(0.08026774477134839-6.302616866023462e-18j)
[1.3373342  4.71239284],0.038393497467041016,"[[ 6.15673554e-01-1.48257691e-18j -1.74051014e-17+4.86435637e-01j]
 [-1.74051014e-17-4.86435637e-01j  3.84326446e-01+8.40099979e-18j]]",(2.978559228468045e-17-0.4864356368778058j)
[1.48402241e-09 4.71239279e+00],0.06587696075439453,"[[ 1.00000000e+00+2.19259184e-17j -9.90098429e-27+7.42011206e-10j]
 [-9.90098429e-27-7.42011206e-10j  5.50580630e-19+1.78862946e-35j]]",(0.13698523029017395+1.5503965550739867e-17j)
[3.14154666 4.71239284],0.03782486915588379,"[[ 5.28857511e-10+1.84999829e-26j -2.89528205e-21+2.29969022e-05j]
 [-2.89528205e-21-2.29969022e-05j  9.99999999e-01+2.53386808e-17j]]",(0.03001253754459311+1.7917156045490862e-17j)
