SLSQP,fun,time
[2.63298863e+00 1.00992933e-09],1.9603750738798442,0.07647967338562012
[0.53479839 2.41930669],0.013829988081065336,0.05249166488647461
[3.14159265 1.59684225],1.1099711045799718,0.024612903594970703
[3.14159265 1.59684225],1.8972293226268635,0.029064655303955078
[3.14159265 1.59684225],1.2120779409191065,0.00897359848022461
[3.14159265 1.49536016],0.004199359350850826,0.012868165969848633
[2.12453017 3.06157595],0.1449692851797585,0.1433703899383545
[3.14159265 1.59684225],1.1713955940477145,0.02577042579650879
[0.54815532 2.80771978],0.015529955447843413,0.18469810485839844
[3.14159265 1.49536016],0.0198705053816123,0.0069811344146728516
