Nelder-Mead,fun,time
[1.56301351 3.24284487],0.9225246151334043,0.17298340797424316
[3.14159265 3.11288195],0.0737379866604242,0.07527661323547363
[1.51909912 3.14156903],0.9987327359694985,0.1074824333190918
[2.40189309 2.2934731 ],0.0875882202769957,0.17047357559204102
[1.56660502 3.11036897],0.9134022900234526,0.07143950462341309
[1.79096414 3.14156375],0.9759028461160753,0.0679931640625
[2.41720502 3.78629156],0.07444315986707079,0.12164545059204102
[1.2481421  3.09934757],1.6044618964390207,0.04042530059814453
[2.49917409 2.62807014],0.035097379680051555,0.08254218101501465
[0.         5.68899256],0.043065804547087305,0.03202700614929199
