Nelder-Mead,fun,time
[0.         4.63385902],1.2522875176542634,0.03757071495056152
[0.3045457  3.95934626],0.9068229790177155,0.04147839546203613
[0.         4.80899757],2.205721952397759,0.038451194763183594
[0.59843798 5.09603147],0.6284297629403477,0.03690481185913086
[0.         4.60195201],0.8339937090519299,0.03391456604003906
[0.         4.62590331],1.045143039017882,0.0275266170501709
[0.         4.62590331],0.9603507677288634,0.026920080184936523
[0.         4.60195201],0.6447241135948031,0.05884242057800293
[0.40298495 5.32860791],0.8359878737627786,0.03290271759033203
[0.         4.60195201],0.48822288272166625,0.03391003608703613
