Nelder-Mead,time,Powell,time,COBYLA,time,Density Matrix,0,1
[0.         0.14400647],0.023845434188842773,[1.86067731 3.37584998],0.029712200164794922,[ 1.86058219 -2.50002267],0.017075300216674805,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.35708132+0.j        -0.11121128-0.2994983j]
 [-0.11121128+0.2994983j  0.64291868+0.j       ]]",[0.49609227 0.11336303],2.5134875617599803
[0.         0.14400647],0.01832747459411621,[3.14154666 4.71239284],0.05645942687988281,[ 3.14151969 -3.02226199],0.015554428100585938,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.14658915 0.        ]
 [0.         0.85341085]]",[0.49609227 0.11336303],2.1130527515648727
[0.         0.14400647],0.0233917236328125,[3.14154666 4.71239284],0.06402158737182617,[ 3.14167635 -2.55222803],0.01617288589477539,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.02403034 0.        ]
 [0.         0.97596966]]",[0.49609227 0.11336303],2.358170366284791
[0.         0.14400647],0.01945185661315918,[1.87477367 4.71238898],0.04491472244262695,[ 3.14167016 -0.58103716],0.012970447540283203,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.35033763 0.        ]
 [0.         0.64966237]]",[0.49609227 0.11336303],1.7055557954970761
[0.         0.14400647],0.01819300651550293,[3.14154666 4.71239284],0.030991792678833008,[ 3.14151142 -2.55339986],0.01487421989440918,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.02383535 0.        ]
 [0.         0.97616465]]",[0.49609227 0.11336303],2.358560342754881
[0.         0.14400647],0.019268035888671875,[1.34555145 4.71239284],0.031206846237182617,[ 9.12288422e-05 -6.87730153e-01],0.010603666305541992,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.61166884 0.        ]
 [0.         0.38833116]]",[0.49609227 0.11336303],1.1828933730586817
[0.         0.14400647],0.01774287223815918,[1.65795217 4.71238898],0.03855109214782715,[1.65801028e+00 9.79869344e-05],0.013581275939941406,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.45646978 0.        ]
 [0.         0.54353022]]",[0.49609227 0.11336303],1.4932914931150822
[0.56378542 0.        ],0.023711681365966797,[1.02932118 5.71298353],0.07971644401550293,[ 0.83833561 -0.67140611],0.012590646743774414,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.75770052+0.j         -0.23129396+0.26717879j]
 [-0.23129396-0.26717879j  0.24229948+0.j        ]]",[0.49609227 0.11336303],0.941900974716084
[2.26468986 1.13339847],0.08766388893127441,[2.26458349 1.13343089],0.09239983558654785,[2.29877114 1.11928925],0.011600732803344727,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.18027328+0.j         0.29793736+0.16281799j]
 [0.29793736-0.16281799j 0.81972672+0.j        ]]",[0.49609227 0.11336303],2.2082343155160395
[0.        0.2180467],0.022773265838623047,[1.93812247 2.47172257],0.032058000564575195,[1.93821521 1.97296435],0.01349949836730957,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.32044724+0.j         0.28971913-0.17645735j]
 [0.28971913+0.17645735j 0.67955276+0.j        ]]",[0.49609227 0.11336303],2.5900006320033664
