Nelder-Mead,fun,time
[0.         2.60378188],1.4159289231470715,0.18832731246948242
[0.38484782 2.41696923],1.003166442592733,0.0710597038269043
[0.         2.74562214],1.5160432337980416,0.09035491943359375
[0.         2.74562214],2.3805691643540317,0.03946685791015625
[0.         2.74562214],1.4170164711852251,0.15872931480407715
[0.30193956 4.5515893 ],0.9084091091804127,0.2184278964996338
[0.         2.60378188],2.4072392652767234,0.056237220764160156
[0.         2.74562214],1.3793334251626854,0.15801525115966797
[0.         2.74562214],1.5348032701169134,0.040724754333496094
[1.02659781 2.74305075],0.16481120402697996,0.14431333541870117
