direct,time,matrix,degree
[1.57570875 1.54805198],0.7083034515380859,"[[4.97543798e-01+1.08086338e-17j 8.26196924e-18+4.99993967e-01j]
 [8.26196924e-18-4.99993967e-01j 5.02456202e-01+2.92781363e-18j]]",(0.04812723925662458-0.48862053515895765j)
[3.14156605 3.14159265],0.7044317722320557,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.5306643720883232+2.6961915807954838e-33j)
[7.98047212e-05 3.14159265e+00],0.7175240516662598,"[[9.99999998e-01+2.69543420e-33j 6.54377709e-38+3.99023605e-05j]
 [6.54377709e-38-3.99023605e-05j 1.59219838e-09+1.14646145e-42j]]",(0.6534164519304263+1.9059598047827037e-33j)
[2.41704756 2.71515169],0.5797293186187744,"[[1.25599495e-01-4.77736641e-19j 1.19071932e-17+3.31397438e-01j]
 [1.19071932e-17-3.31397438e-01j 8.74400505e-01+4.56104008e-19j]]",(0.13753271394712546-0.6310144373870538j)
[1.54023999 4.77936288],0.703988790512085,"[[5.15275793e-01+1.38438309e-17j 8.97599633e-18+4.99766596e-01j]
 [8.97599633e-18-4.99766596e-01j 4.84724207e-01-5.21947187e-18j]]",(0.11700056043844077+0.4663147914491008j)
[2.95573041e-06 3.14159265e+00],0.729698896408081,"[[ 1.00000000e+00+1.63147708e-33j -9.53850329e-40+1.47786521e-06j]
 [-9.53850329e-40-1.47786521e-06j  2.18408557e-12-9.96685852e-45j]]",(0.061853098996090705+1.153628506753722e-33j)
[2.05945541 5.74121667],0.8366100788116455,"[[2.65278833e-01-8.71228303e-19j 1.33654011e-17+4.41481567e-01j]
 [1.33654011e-17-4.41481567e-01j 7.34721167e-01+1.35618944e-17j]]",(0.2277255682462896+0.17190030012707297j)
[9.85243471e-07 3.14159265e+00],0.16037416458129883,"[[ 1.00000000e+00+2.16502499e-33j -1.42292169e-39+4.92621736e-07j]
 [-1.42292169e-39-4.92621736e-07j  2.42676174e-13+9.84540599e-46j]]",(0.003809902420236759+1.530903866504307e-33j)
[1.51580201 0.21907283],0.681175708770752,"[[ 5.27483302e-01+2.36179067e-18j -8.17844808e-18+4.99244097e-01j]
 [-8.17844808e-18-4.99244097e-01j  4.72516698e-01+3.37654278e-18j]]",(0.1084962600846394-0.38008286859939766j)
[0.39099092 0.94446424],0.15094494819641113,"[[ 9.62265936e-01+2.82373635e-18j -2.13258423e-18+1.90552368e-01j]
 [-2.13258423e-18-1.90552368e-01j  3.77340644e-02-4.21559701e-19j]]",(0.154395714505809-0.07884706578691424j)
