dual_annealing,time,matrix,degree
[1.24604431 1.79613235],0.687685489654541,"[[ 6.59536885e-01-2.27492430e-17j -4.69398125e-17+4.73864941e-01j]
 [-4.69398125e-17-4.73864941e-01j  3.40463115e-01-4.03316427e-18j]]",(0.3121257418585354-0.5797408309817671j)
[3.1415897  3.14159265],0.6698079109191895,"[[ 2.18408557e-12-8.22112299e-45j -3.90536811e-39+1.47786521e-06j]
 [-3.90536811e-39-1.47786521e-06j  1.00000000e+00-1.63147708e-33j]]",(0.02468130343609022-1.1536285087363019e-33j)
[2.28467616 4.81568289],0.6811361312866211,"[[1.72614413e-01+6.76595909e-18j 2.95585154e-17+3.77913584e-01j]
 [2.95585154e-17-3.77913584e-01j 8.27385587e-01-2.38724123e-17j]]",(0.33392279546643744+0.338944842025885j)
[1.46775956 4.58426102],0.6849288940429688,"[[ 5.51427271e-01+1.74128915e-17j -2.63191177e-17+4.97348204e-01j]
 [-2.63191177e-17-4.97348204e-01j  4.48572729e-01-2.76290060e-18j]]",(0.20517930213574845+0.5608970873222193j)
[0.55241715 3.17542986],0.15693974494934082,"[[9.25629310e-01-1.59256460e-18j 8.52082563e-19+2.62373189e-01j]
 [8.52082563e-19-2.62373189e-01j 7.43706896e-02+8.63345792e-20j]]",(0.008878688621158362+0.5244723570849215j)
[0.96428636 1.25788202],0.6873695850372314,"[[7.85001690e-01+9.87935571e-18j 4.70993659e-18+4.10821173e-01j]
 [4.70993659e-18-4.10821173e-01j 2.14998310e-01-3.72216660e-18j]]",(0.3264305657177053-0.2843583985987258j)
[1.24257429 4.3804575 ],0.6865119934082031,"[[6.61180246e-01-2.26997423e-17j 8.27469364e-18+4.73308492e-01j]
 [8.27469364e-18-4.73308492e-01j 3.38819754e-01-7.19573715e-18j]]",(0.2922910866418202+0.6275423672327171j)
[2.66015737e-05 3.14159265e+00],0.6912679672241211,"[[ 1.00000000e+00-3.81299070e-33j -4.41854985e-38+1.33007869e-05j]
 [-4.41854985e-38-1.33007869e-05j  1.76910931e-10-1.11260694e-43j]]",(0.5006031834483949-2.6961915795923504e-33j)
[9.85243471e-07 3.14159265e+00],0.36864376068115234,"[[ 1.00000000e+00+2.16502499e-33j -1.42292169e-39+4.92621736e-07j]
 [-1.42292169e-39-4.92621736e-07j  2.42676174e-13+9.84540599e-46j]]",(0.014490766564852596+1.5309038547272787e-33j)
[1.20232315 0.29913765],0.6779050827026367,"[[6.80095756e-01+6.82883841e-18j 6.77166406e-18+4.66439191e-01j]
 [6.77166406e-18-4.66439191e-01j 3.19904244e-01-1.62334567e-18j]]",(0.13745493256340452-0.15606455997164415j)
