direct,time,matrix,degree
[1.59532298 6.12838188],0.6732320785522461,"[[4.87737904e-01-2.25020672e-18j 9.03428624e-19+4.99849618e-01j]
 [9.03428624e-19-4.99849618e-01j 5.12262096e-01+2.17522566e-18j]]",(0.07706015458158608+0.42222949622056904j)
[1.38861693 4.95188295],0.7182164192199707,"[[5.90586668e-01+5.29868576e-18j 1.65667407e-17+4.91725590e-01j]
 [1.65667407e-17-4.91725590e-01j 4.09413332e-01+1.27496778e-17j]]",(0.24610662148368273+0.3750808422125573j)
[0.64526058 2.88944914],0.25534510612487793,"[[ 8.99471540e-01-7.29249833e-19j -6.77387122e-18+3.00703324e-01j]
 [-6.77387122e-18-3.00703324e-01j  1.00528460e-01+5.93286602e-19j]]",(0.07508716475129802-0.5913591419405549j)
[1.86217223 1.98560649],0.6980650424957275,"[[3.56364797e-01-6.20989170e-18j 5.50020836e-18+4.78924763e-01j]
 [5.50020836e-18-4.78924763e-01j 6.43635203e-01-1.28303727e-17j]]",(0.25518376582324565-0.6719396849191207j)
[8.86719124e-06 3.14159265e+00],0.6789140701293945,"[[1.00000000e+00+1.08698824e-33j 2.81425972e-38+4.43359562e-06j]
 [2.81425972e-38-4.43359562e-06j 1.96567701e-11-7.87798191e-44j]]",(0.09719438936171447+7.686167583651937e-34j)
[3.14156605 3.14159265],0.6649389266967773,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.5133189855256979+2.696191580919838e-33j)
[3.14156605 3.14159265],0.6594681739807129,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.3605972725221755+2.696191582706015e-33j)
[1.24664728 3.65006105],0.6648643016815186,"[[6.59251130e-01+1.14838878e-17j 2.11025433e-17+4.73961051e-01j]
 [2.11025433e-17-4.73961051e-01j 3.40748870e-01-6.56925802e-18j]]",(0.23074232108883014+0.7090938593374426j)
[1.01633086 0.38908644],0.7012538909912109,"[[7.63244463e-01-1.17729516e-17j 9.15528249e-18+4.25090993e-01j]
 [9.15528249e-18-4.25090993e-01j 2.36755537e-01+2.88443214e-18j]]",(0.1612556663593034-0.1110117327206087j)
[1.56838445 1.54574651],0.6754157543182373,"[[ 5.01205937e-01-2.39325440e-17j -1.56465350e-17+4.99998546e-01j]
 [-1.56465350e-17-4.99998546e-01j  4.98794063e-01-1.30204725e-17j]]",(0.032311032597583535-0.4874785967792965j)
