Nelder-Mead,time,Powell,time,COBYLA,time,Density Matrix
[3.14159265 6.02532951],0.07702040672302246,[1.5402099  4.71239284],0.07852578163146973,[3.14173515 6.90741959],0.03542041778564453,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.51529734 0.        ]
 [0.         0.48470266]]"
[2.94201234 6.28318531],0.05286908149719238,[1.49704195 1.37064275],0.09772372245788574,[4.78626916 4.51201495],0.0573115348815918,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.53684417+0.j         0.1558921 +0.09913039j]
 [0.1558921 -0.09913039j 0.46315583+0.j        ]]"
[3.14159265 6.27545656],0.04779314994812012,[3.14159265 4.71239284],0.2595670223236084,[3.14147361 6.81658373],0.041329145431518555,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.08933781 0.        ]
 [0.         0.91066219]]"
[3.14159265 6.02532951],0.07095217704772949,[4.00272200e-14 4.71239285e+00],0.25139331817626953,[3.14149115 6.90778594],0.03577756881713867,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[9.99664396e-01 0.00000000e+00]
 [0.00000000e+00 3.35604095e-04]]"
[3.14159265 6.25041366],0.0648794174194336,[1.65016841 2.99103085],0.08860516548156738,[4.63289278 5.07752277],0.03921651840209961,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.46036166+0.j         0.07475737-0.17580467j]
 [0.07475737+0.17580467j 0.53963834+0.j        ]]"
[3.14159265 6.25041366],0.07277703285217285,[3.14159265 4.71235627],0.1559596061706543,[3.14173515 6.90741959],0.03403186798095703,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.30536618 0.        ]
 [0.         0.69463382]]"
[3.14159265 6.27545656],0.051435232162475586,[3.14159265 4.71235627],0.13513731956481934,[3.14170181 6.85492549],0.03187203407287598,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.15404921 0.        ]
 [0.         0.84595079]]"
[3.14159265 5.97338701],0.06524944305419922,[1.5599788  1.69192718],0.08011603355407715,[3.30461086 5.55272016],0.033627986907958984,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.50540222+0.j         0.04115697-0.06041485j]
 [0.04115697+0.06041485j 0.49459778+0.j        ]]"
[3.14159265 5.97338701],0.062357187271118164,[1.51579879 1.73810869],0.07819747924804688,[4.76744516 6.00301542],0.03987455368041992,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.52749053+0.j         0.13808619-0.08313409j]
 [0.13808619+0.08313409j 0.47250947+0.j        ]]"
[3.14159265 5.97338701],0.06505656242370605,[4.00272336e-14 4.71239276e+00],0.24037432670593262,[3.14149115 6.90778594],0.02926039695739746,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.98197276 0.        ]
 [0.         0.01802724]]"
