COBYLA,time
[-2.41880759  3.12000197],0.014013290405273438
[5.11368942e-05 2.58257340e+00],0.010969877243041992
[5.11368942e-05 2.58257340e+00],0.011968135833740234
[-1.22101807e-04  2.55359521e+00],0.011970281600952148
[-0.40590298  3.44745244],0.01994633674621582
[1.32495914e-04 3.01505074e+00],0.009973526000976562
[0.49684552 2.21306643],0.013476133346557617
[0.824403   3.80906328],0.010970592498779297
[9.45177816e-05 2.55988045e+00],0.01200413703918457
[1.01811283e-04 2.54550345e+00],0.01296377182006836
