direct,time,matrix,degree
[3.14156605 3.14159265],0.6968913078308105,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.26544035424766677+2.696191585289554e-33j)
[3.14156605 3.14159265],0.6962175369262695,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.5299990236572645+2.696191580800069e-33j)
[1.60945728 4.83040243],0.7350142002105713,"[[ 4.80674338e-01+9.43900100e-18j -3.08424115e-17+4.99626379e-01j]
 [-3.08424115e-17-4.99626379e-01j  5.19325662e-01+2.25615236e-17j]]",(0.12294000694372245+0.4407977095537071j)
[2.05513414 5.19782336],0.6943783760070801,"[[ 2.67188783e-01-3.02370776e-18j -2.09957363e-17+4.42491737e-01j]
 [-2.09957363e-17-4.42491737e-01j  7.32811217e-01-1.41410255e-17j]]",(0.2859752552908826+0.2360281706287202j)
[3.14156605 3.14159265],0.7325577735900879,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.37901100054863385+2.6961915823921563e-33j)
[2.95573041e-06 3.14159265e+00],0.670651912689209,"[[ 1.00000000e+00+1.63147708e-33j -9.53850329e-40+1.47786521e-06j]
 [-9.53850329e-40-1.47786521e-06j  2.18408557e-12-9.96685852e-45j]]",(0.06095165990685789+1.1536285067631984e-33j)
[1.7083442  0.11426263],0.6965086460113525,"[[4.31442720e-01-1.11685422e-18j 3.69232851e-18+4.95277598e-01j]
 [3.69232851e-18-4.95277598e-01j 5.68557280e-01-2.71590680e-18j]]",(0.05646734417779684-0.2587026658933241j)
[3.14156605 3.14159265],0.7005364894866943,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.4156441345560985+2.6961915818708144e-33j)
[2.0277286  4.15637767],0.7059578895568848,"[[ 2.79401410e-01+2.15567547e-18j -1.73226111e-17+4.48705095e-01j]
 [-1.73226111e-17-4.48705095e-01j  7.20598590e-01-6.79112308e-19j]]",(0.2591993196574125+0.6855312799865272j)
[0.42094429 4.80391908],0.1739668846130371,"[[ 9.56351745e-01+2.13083075e-17j -1.54319947e-18+2.04311245e-01j]
 [-1.54319947e-18-2.04311245e-01j  4.36482550e-02-1.82785562e-19j]]",(0.20346911096786696+0.1856234100240637j)
