Nelder-Mead,time,matrix,degree
[0.67328983 5.39552519],0.0631873607635498,"[[ 8.90887246e-01+1.01655444e-17j -1.39200914e-17+3.11780630e-01j]
 [-1.39200914e-17-3.11780630e-01j  1.09112754e-01+2.36674403e-18j]]",(0.24182471158731655+0.11497686472568397j)
[1.36207971 3.53995821],0.07261872291564941,"[[6.03602270e-01+3.55186136e-18j 3.47323329e-18+4.89148822e-01j]
 [3.47323329e-18-4.89148822e-01j 3.96397730e-01+4.16285011e-20j]]",(0.18976532631515614+0.9399863485472685j)
[0.91964357 5.56227791],0.043627023696899414,"[[8.03051849e-01-1.86771498e-17j 5.06115347e-18+3.97692817e-01j]
 [5.06115347e-18-3.97692817e-01j 1.96948151e-01-1.02226251e-18j]]",(0.2624980803996711+0.09894829596117834j)
[3.14159265 4.41509463],0.027595043182373047,"[[3.74939946e-33+7.50173569e-50j 2.06113846e-33+6.12323400e-17j]
 [2.06113846e-33-6.12323400e-17j 1.00000000e+00-1.86327085e-17j]]",(0.6847594714913753-0.1131801061671363j)
[2.04522732 4.53036515],0.036041259765625,"[[2.71583819e-01-5.83571324e-18j 1.93430031e-18+4.44776403e-01j]
 [1.93430031e-18-4.44776403e-01j 7.28416181e-01+1.96258675e-17j]]",(0.43743192964937067+0.5252765631342371j)
[1.32508521 3.98487174],0.037081241607666016,"[[6.21623071e-01+2.12111362e-18j 8.94052790e-19+4.84982297e-01j]
 [8.94052790e-19-4.84982297e-01j 3.78376929e-01-8.23715425e-19j]]",(0.36218610943371454+0.8075173739249443j)
[3.14159265 4.52547199],0.029565811157226562,"[[3.74939946e-33+3.30593130e-51j 1.00128808e-33+6.12323400e-17j]
 [1.00128808e-33-6.12323400e-17j 1.00000000e+00+1.66327114e-17j]]",(0.35716475813399673+0.03607103237763713j)
[2.31615764 5.22018327],0.03897213935852051,"[[ 1.60881320e-01-2.47770024e-18j -2.17499706e-18+3.67421449e-01j]
 [-2.17499706e-18-3.67421449e-01j  8.39118680e-01-1.99619551e-17j]]",(0.32105485013764556+0.18876828747186833j)
[3.14159265 4.41509463],0.027683258056640625,"[[3.74939946e-33+7.50173569e-50j 2.06113846e-33+6.12323400e-17j]
 [2.06113846e-33-6.12323400e-17j 1.00000000e+00-1.86327085e-17j]]",(1.4016016076870947+0.0031484994307980478j)
[3.14159265 4.1943399 ],0.026920080184936523,"[[3.74939946e-33-1.16488335e-49j 7.44706928e-34+6.12323400e-17j]
 [7.44706928e-34-6.12323400e-17j 1.00000000e+00+8.27216078e-18j]]",(0.24838219733220046-0.002643754344083377j)
