differential_evolution,time,matrix,degree
[1.69434499 1.72550287],0.3496096134185791,"[[ 4.38382706e-01-9.51610137e-18j -1.17574647e-17+4.96188784e-01j]
 [-1.17574647e-17-4.96188784e-01j  5.61617294e-01-2.57768431e-17j]]",(0.219493135479178-0.5726523628735773j)
[1.70390809 3.27480976],0.5320193767547607,"[[ 4.33640492e-01-1.01663880e-18j -3.85607853e-18+4.95576851e-01j]
 [-3.85607853e-18-4.95576851e-01j  5.66359508e-01-3.07771164e-18j]]",(0.06463713305194786+0.7256769026133142j)
[3.14158954 6.21308043],0.35904502868652344,"[[2.41923510e-12+4.53424037e-30j 2.05985604e-24+1.55538905e-06j]
 [2.05985604e-24-1.55538905e-06j 1.00000000e+00+2.96474816e-18j]]",(0.6072539561454731+2.0963935287382763e-18j)
[2.04670108e-07 4.07631563e+00],0.4229917526245117,"[[1.00000000e+00+2.69769966e-17j 6.28378273e-25+1.02335054e-07j]
 [6.28378273e-25-1.02335054e-07j 1.04724632e-14-3.71506597e-31j]]",(0.01648833026080021+1.9075617244279235e-17j)
[0.96152667 5.26950453],0.5245716571807861,"[[ 7.86134343e-01-6.75352068e-18j -1.07087577e-17+4.10033093e-01j]
 [-1.07087577e-17-4.10033093e-01j  2.13865657e-01-4.04033653e-18j]]",(0.2749537608278783+0.19322835435839958j)
[5.37385716e-06 3.75507557e+00],0.380418062210083,"[[1.00000000e+00-6.66701932e-18j 4.74541221e-23+2.68692858e-06j]
 [4.74541221e-23-2.68692858e-06j 7.21958520e-12-1.98025216e-28j]]",(0.07676322556882603-4.714294572902486e-18j)
[1.92318931 3.30804307],0.4878110885620117,"[[ 3.27427636e-01-5.74904904e-20j -1.82882523e-18+4.69274738e-01j]
 [-1.82882523e-18-4.69274738e-01j  6.72572364e-01+1.15498596e-18j]]",(0.07775078930644966+0.7963293767589802j)
[3.14158414 3.58852709],0.3737773895263672,"[[ 1.81404322e-11-1.01426834e-28j -1.95405052e-22+4.25915863e-06j]
 [-1.95405052e-22-4.25915863e-06j  1.00000000e+00+5.60557044e-18j]]",(0.24143044231281113+3.9637368650682985e-18j)
[1.20990891 3.55502778],0.46468162536621094,"[[6.76552311e-01-1.27181249e-17j 3.18178859e-18+4.67791921e-01j]
 [3.18178859e-18-4.67791921e-01j 3.23447689e-01-2.16219284e-18j]]",(0.18754537168337557+0.7488028179304529j)
[1.50487757e-07 3.83894479e+00],0.3324744701385498,"[[ 1.00000000e+00+1.14359545e-17j -3.80419226e-24+7.52438784e-08j]
 [-3.80419226e-24-7.52438784e-08j  5.66164123e-15-1.32361058e-31j]]",(0.02705905626959844+8.086440966722712e-18j)
