Powell,fun,time
[1.77685051 4.71239284],0.9788609275867569,0.14222335815429688
[1.20112523 4.71238898],0.9324690029993608,0.15771079063415527
[1.05662466 0.99941819],0.205007421603478,0.039882659912109375
[1.79449674 4.71239284],0.9750881905235664,0.033423423767089844
[1.51118524 4.80571777],0.6723554363593751,0.02955317497253418
[3.39673251e-05 4.71239284e+00],0.1358029817095764,0.04554128646850586
[1.57403385 1.49125753],0.9856013883801764,0.028992414474487305
[1.30046975 4.71238898],0.9636921715448671,0.057253360748291016
[3.14159265 4.71258376],0.580855735666916,0.05198955535888672
[4.35346195e-05 4.71239284e+00],0.5234332138056178,0.03561258316040039
