differential_evolution,fun,time
[0.         4.34944261],0.9098041282288969,0.5967400074005127
[3.14158358 3.67140035],0.18676004131796728,0.9477591514587402
[3.14159265 4.6067413 ],0.5697184705148793,0.5922377109527588
[2.50566053 2.47559344],0.033179270626619295,1.755786418914795
[3.14159265 0.92397469],0.7124001044052047,0.8195674419403076
[3.14159162 1.56071916],0.013030743585046651,1.4965846538543701
[3.14159265 1.41466732],0.6457931725970415,1.0010335445404053
[9.82692566e-07 1.25009513e+00],0.005245142845380553,1.7848544120788574
[3.14159165 4.53521955],0.02288698694471957,1.582017183303833
[1.58187724 4.72238135],0.8521858054720408,1.346789836883545
