differential_evolution,time,matrix,degree
[3.14159265 3.27662017],0.23775053024291992,"[[3.74939946e-33-5.26963426e-51j 6.72922809e-34+6.12323400e-17j]
 [6.72922809e-34-6.12323400e-17j 1.00000000e+00+1.93800160e-18j]]",(0.26544035483109707+1.370374075638954e-18j)
[3.14159265 5.19535709],0.2297983169555664,"[[3.74939946e-33+8.72649249e-50j 2.53555179e-33+6.12323400e-17j]
 [2.53555179e-33-6.12323400e-17j 1.00000000e+00-2.32280810e-17j]]",(0.5299990240743516-1.6424733605928726e-17j)
[1.60944938 4.83040804],0.36769866943359375,"[[ 4.80678287e-01-1.36749735e-17j -2.43132787e-18+4.99626532e-01j]
 [-2.43132787e-18-4.99626532e-01j  5.19321713e-01-4.64977698e-18j]]",(0.12294000693457774+0.4407978623274241j)
[2.0551328  5.19781842],0.3875701427459717,"[[2.67189373e-01+1.03821370e-18j 9.72016359e-18+4.42492047e-01j]
 [9.72016359e-18-4.42492047e-01j 7.32810627e-01+9.02492170e-18j]]",(0.2859752552901608+0.23602848076560184j)
[3.14158327 3.93573017],0.31127119064331055,"[[ 2.20293554e-11-7.92179324e-28j -2.95593082e-23+4.69354401e-06j]
 [-2.95593082e-23-4.69354401e-06j  1.00000000e+00+2.23182477e-17j]]",(0.37901100097199286+1.5781384307819664e-17j)
[0.         4.59304255],0.2629876136779785,"[[1.-2.57394462e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.06095165992786315-1.8200536918584482e-18j)
[1.70834186 0.11425992],0.33060264587402344,"[[ 4.31443877e-01+1.16681879e-18j -3.22905752e-18+4.95277758e-01j]
 [-3.22905752e-18-4.95277758e-01j  5.68556123e-01-7.65630887e-19j]]",(0.05646734417677194-0.2587028260790984j)
[3.14159265 0.1248207 ],0.19958209991455078,"[[3.74939946e-33-3.81693047e-52j 9.72105918e-35+6.12323400e-17j]
 [9.72105918e-35-6.12323400e-17j 1.00000000e+00+2.54686107e-18j]]",(0.41564413501910386+1.8009027322303923e-18j)
[2.02772512 4.15638267],0.3881564140319824,"[[ 2.79402970e-01-3.48331866e-18j -2.30056358e-17+4.48705862e-01j]
 [-2.30056358e-17-4.48705862e-01j  7.20597030e-01+6.87699018e-18j]]",(0.25919931965622073+0.6855320472601059j)
[0.42094185 4.80393157],0.5078914165496826,"[[ 9.56352243e-01+2.02814078e-17j -8.50284389e-18+2.04310133e-01j]
 [-8.50284389e-18-2.04310133e-01j  4.36477572e-02+5.41280628e-19j]]",(0.20346911724440983+0.18562229245117415j)
