Nelder-Mead,time
[1.84793569 1.5707779 ],0.0609278678894043
[0.         1.51086575],0.02568531036376953
[1.87981618 1.18422787],0.03085494041442871
[1.46795429 1.54226108],0.03730463981628418
[3.14159265 0.92850231],0.019947290420532227
[0.         1.76348639],0.03142690658569336
[1.87325025 3.12095449],0.049048662185668945
[3.14159265 0.92850231],0.020629405975341797
[0.         1.52632671],0.027831554412841797
[0.         1.51086575],0.02346634864807129
