SLSQP,fun,time
[1.92732617 1.82922103],0.28521853857596097,0.04922747611999512
[0.01237836 1.760137  ],1.0657818388067868,0.03904867172241211
[4.44089210e-16 1.57685158e+00],0.006679374063141455,0.013964653015136719
[3.14159265 1.25834086],0.03700914164223861,0.0039844512939453125
[1.69648085e+00 4.52622324e-15],0.653521786355731,0.0286712646484375
[4.44089210e-16 1.57685154e+00],0.23025314507232897,0.010694503784179688
[0.07640089 2.67515729],0.9965364211760211,0.12714910507202148
[1.80799776 0.47414173],0.46155867128366923,0.1712651252746582
[0.         1.57685153],0.44569334684117345,0.03709220886230469
[4.44089210e-16 1.57685154e+00],0.008871076275845605,0.012038230895996094
