SLSQP,fun,time
[2.93082035e+00 2.64180935e-14],1.058902320070585,0.06459236145019531
[3.14159265 0.        ],9.298978311933832e-06,0.01065826416015625
[2.26912239 2.83275164],0.09446661339121232,0.23517632484436035
[1.95676808e-15 6.84771118e-18],0.10138095694437362,0.018001317977905273
[0.00000000e+00 1.29306414e-17],0.7579798746328081,0.010180950164794922
[1.47808010e+00 9.41994754e-16],0.99570646669465,0.024634599685668945
[1.89070979 0.        ],0.9492630460343003,0.035846710205078125
[1.86021439 0.        ],0.9584116404797954,0.058493614196777344
[0. 0.],0.027262995003631274,0.00498652458190918
[0.73097437 1.404168  ],0.07979191512692788,0.056754112243652344
