differential_evolution,fun,time,3
[3.01925684e-06 4.49126672e+00],0.9999363975695487,0.25735902786254883,(0.9273200703320702-0.7568515570937476j)
[3.14158663 3.69528197],1.000075496427915,0.2340235710144043,(0.7890643000043043-0.2336574342269987j)
[3.14159265 3.51029667],1.000067210367232,0.21225810050964355,(0.8995063327245053-0.17342231277367362j)
[0.         3.19351381],0.9999327896327682,0.24888920783996582,(1.722476931914852-0.04515505949448109j)
[0.         3.32265428],0.9999327896327682,0.24702239036560059,(1.7073105819158858-0.15648782553983717j)
[4.26664138e-07 2.44269582e+00],0.9999333907708526,0.296811580657959,(1.4863987962003917+0.5477967292887136j)
[3.14159265 2.90648307],1.000067210367232,0.2310342788696289,(0.9507909832001812+0.11577085896380893j)
[3.1415909  0.36464705],1.0000694687425815,0.3661677837371826,(1.6572964578420437-0.30861631414786284j)
[3.14159265 0.29461303],1.000067210367232,0.2769899368286133,(1.680227768221288-0.25177176587280675j)
[3.14159265 6.25535048],1.0000672103672323,0.25792741775512695,(1.7234087711951502+0.024216618563618987j)
