Nelder-Mead,fun,time,Powell,fun,time,differential_evolution,fun,time,dual_annealing,fun,time,Density Matrix
[3.14159265 6.27075967],1.090195871771103,0.034328460693359375,[1.48049834 4.71238898],0.9959464563268898,0.15345263481140137,[0.         4.34944261],0.9098041282288969,0.5967400074005127,[0.         3.82267955],0.9098041282288971,5.5912652015686035,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.54509794 0.        ]
 [0.         0.45490206]]"
[3.14159265 6.27075967],0.18674762271819811,0.05400252342224121,[3.14159265 4.71239287],0.1867476234506665,0.24878573417663574,[3.14158358 3.67140035],0.18676004131796728,0.9477591514587402,[3.14159265 6.05130839],0.18674762271819814,6.405631065368652,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.09337381 0.        ]
 [0.         0.90662619]]"
[3.14159265 6.27075967],0.5697184705148791,0.07733988761901855,[2.01561957 4.71239289],0.9027070699625875,0.15300297737121582,[3.14159265 4.6067413 ],0.5697184705148793,0.5922377109527588,[3.14159265 1.47444717],0.5697184705148791,6.2073962688446045,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.28485924 0.        ]
 [0.         0.71514076]]"
[3.14159265 6.27075967],1.0626210200854815,0.0758359432220459,[2.50566376 2.47559001],0.03318412492156597,0.3542020320892334,[2.50566053 2.47559344],0.033179270626619295,1.755786418914795,[2.50566051 2.47559291],0.033179333750871176,7.2668657302856445,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.11433033+0.j         0.18347766-0.23350252j]
 [0.18347766+0.23350252j 0.88566967+0.j        ]]"
[3.14159265 6.27075967],0.7124001044052046,0.06276297569274902,[1.86250859 4.71239289],0.9577639173298614,0.14255523681640625,[3.14159265 0.92397469],0.7124001044052047,0.8195674419403076,[3.14159265 2.86058575],0.7124001044052047,6.528191804885864,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.35620005 0.        ]
 [0.         0.64379995]]"
[3.14159265 6.27075967],0.013029697538381247,0.09474968910217285,[3.14159265 4.71239283],0.013029698270849379,0.2704508304595947,[3.14159162 1.56071916],0.013030743585046651,1.4965846538543701,[3.14159265 5.15732228],0.013029697538381398,5.953580856323242,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.00651485 0.        ]
 [0.         0.99348515]]"
[3.14159265 6.27075967],0.6457931725970413,0.027156591415405273,[1.93288226 4.71239284],0.935182438088926,0.045343637466430664,[3.14159265 1.41466732],0.6457931725970415,1.0010335445404053,[3.14159265 1.41033113],0.6457931725970413,6.56183123588562,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.32289659 0.        ]
 [0.         0.67710341]]"
[3.14159265 6.27075967],1.9947560995199674,0.04307126998901367,[4.59938044e-05 4.71239284e+00],0.005289893404374697,0.18918585777282715,[9.82692566e-07 1.25009513e+00],0.005245142845380553,1.7848544120788574,[0.         0.30290397],0.00524390048003287,6.068176031112671,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.99737805 0.        ]
 [0.         0.00262195]]"
[3.14159265 6.27904343],0.0228858171656532,0.051900625228881836,[3.14159265 4.7123927 ],0.022885817898121233,0.35061073303222656,[3.14159165 4.53521955],0.02288698694471957,1.582017183303833,[3.14159265 2.6009469 ],0.022885817165653355,6.05540657043457,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.01144291 0.        ]
 [0.         0.98855709]]"
[3.14159265 6.25005028],1.1466138005309703,0.02188396453857422,[1.58188803 4.72239559],0.8522103496194056,0.09716033935546875,[1.58187724 4.72238135],0.8521858054720408,1.346789836883545,[1.58187734 4.72238136],0.8521856988417825,6.84724235534668,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.49445961+0.j        -0.0738515 +0.0049958j]
 [-0.0738515 -0.0049958j  0.50554039+0.j       ]]"
