SLSQP,fun,time
[1.88737914e-15 4.67907506e+00],1.2522875176542654,0.004951000213623047
[0.3087098  3.94547402],0.9113288619102559,0.0348663330078125
[2.44249065e-15 4.67907515e+00],2.2057219523977616,0.004987478256225586
[0.59744269 5.09243498],0.6311664585349692,0.05439448356628418
[1.88737914e-15 4.67907506e+00],0.8339937090519322,0.003982067108154297
[0.         4.67907509],1.0451430390178822,0.004950761795043945
[0.         4.67907509],0.9603507677288636,0.003988742828369141
[0.         4.67907511],0.6447241135948032,0.003990888595581055
[0.40296708 5.32857653],0.8359690319275068,0.039520978927612305
[1.88737914e-15 4.67907506e+00],0.4882228827216684,0.0060198307037353516
